species,metric,term,estimate,se_wald,ci_lo_wald,ci_hi_wald,p_wald_normal,wald_ci_includes_zero,singular_point_model,n_trees,n_containers,n_blocks,response_mean,response_sd,oriented_estimate,orientation,bootstrap_mean,bootstrap_median,bootstrap_se,ci_lo_boot,ci_hi_boot,p_boot,n_boot,boot_ci_includes_zero,oriented_ci_lo_boot,oriented_ci_hi_boot,oriented_bootstrap_mean,bootstrap_minus_point,point_and_bootstrap_mean_same_sign,ci_inclusion_agrees,wald_significant,bootstrap_significant,significance_agrees,wald_ci_width,bootstrap_ci_width,bootstrap_to_wald_width_ratio,result_class
fagus,root_biomass,precipitationdrought,-0.2214965441421845,0.11875931403651514,-0.4542647996537542,0.011271711369385179,0.06216910259886621,TRUE,TRUE,128,32,2,37.249218750000004,22.22805560722206,-0.2214965441421845,raw biological sign retained,-0.22339461269533262,-0.22505202891936638,0.10916658311263287,-0.4400790875607286,-0.002452824916534468,0.05194805194805195,1000,FALSE,-0.4400790875607286,-0.002452824916534468,-0.22339461269533262,-0.0018980685531481134,TRUE,FALSE,FALSE,TRUE,FALSE,0.4655365110231394,0.43762626264419413,0.9400471333223571,significance changed
fagus,root_biomass,culturemixed,0.22557359890583065,0.11875931403651514,-0.007194656605739036,0.45834185441740033,0.057509516381587605,TRUE,TRUE,128,32,2,37.249218750000004,22.22805560722206,0.22557359890583065,raw biological sign retained,0.2251799138282268,0.22426532102170055,0.11348018767310994,0.0011268404772106283,0.44180668065952966,0.05194805194805195,1000,FALSE,0.0011268404772106283,0.44180668065952966,0.2251799138282268,-3.9368507760384475e-4,TRUE,FALSE,FALSE,TRUE,FALSE,0.46553651102313937,0.44067984018231904,0.9466063987415483,significance changed
fagus,root_biomass,robiniawith-robinia,-1.4560006089549584,0.11875931403651514,-1.6887688644665282,-1.2232323534433887,1.4832379191980665e-34,FALSE,TRUE,128,32,2,37.249218750000004,22.22805560722206,-1.4560006089549584,raw biological sign retained,-1.4538577273443642,-1.4556541385514679,0.11447431302391015,-1.6771232476666365,-1.224903584007244,0.001998001998001998,1000,FALSE,-1.6771232476666365,-1.224903584007244,-1.4538577273443642,0.0021428816105941717,TRUE,TRUE,TRUE,TRUE,TRUE,0.46553651102313953,0.4522196636593925,0.971394623088789,agrees
fagus,root_shoot_biomass,precipitationdrought,0.3558676232060894,0.16626973205485582,0.029978948378572012,0.6817562980336067,0.032330279505118034,FALSE,TRUE,128,32,2,0.7419067548862192,0.2765046887872485,0.3558676232060894,raw biological sign retained,0.3638552794835075,0.3541070791543919,0.16493110968173144,0.05685243295360948,0.7013323133653309,0.01998001998001998,1000,FALSE,0.05685243295360948,0.7013323133653309,0.3638552794835075,0.007987656277418098,TRUE,TRUE,TRUE,TRUE,TRUE,0.6517773496550348,0.6444798804117213,0.9888037391186181,agrees
fagus,root_shoot_biomass,culturemixed,-0.033255478870174104,0.16626973205485582,-0.3591441536976915,0.2926331959573433,0.8414733728775106,TRUE,TRUE,128,32,2,0.7419067548862192,0.2765046887872485,-0.033255478870174104,raw biological sign retained,-0.026495757339226763,-0.03648393164441468,0.15927428148872436,-0.3185883503457292,0.31032853572102204,0.8091908091908092,1000,TRUE,-0.3185883503457292,0.31032853572102204,-0.026495757339226763,0.0067597215309473414,TRUE,TRUE,FALSE,FALSE,TRUE,0.6517773496550348,0.6289168860667512,0.9649259619095649,agrees
fagus,root_shoot_biomass,robiniawith-robinia,-0.6426079341069367,0.16626973205485582,-0.9684966089344541,-0.31671925927941935,1.1115650404255188e-4,FALSE,TRUE,128,32,2,0.7419067548862192,0.2765046887872485,-0.6426079341069367,raw biological sign retained,-0.6377233076964576,-0.643824268963826,0.15895986417769495,-0.9396141511305512,-0.3074895009086916,0.001998001998001998,1000,FALSE,-0.9396141511305512,-0.3074895009086916,-0.6377233076964576,0.004884626410479154,TRUE,TRUE,TRUE,TRUE,TRUE,0.6517773496550348,0.6321246502218596,0.9698475262394793,agrees
fagus,shoot_biomass,precipitationdrought,-0.4457474487376809,0.1376422295577927,-0.7155262186709546,-0.1759686788044072,0.0012018117499606356,FALSE,TRUE,128,32,2,50.732031250000006,27.730809306940788,-0.4457474487376809,raw biological sign retained,-0.4492159564380192,-0.4578180916785052,0.1179840113480252,-0.6626145833101224,-0.2035988576216876,0.001998001998001998,1000,FALSE,-0.6626145833101224,-0.2035988576216876,-0.4492159564380192,-0.003468507700338297,TRUE,TRUE,TRUE,TRUE,TRUE,0.5395575398665473,0.45901572568843474,0.850726181682062,agrees
fagus,shoot_biomass,culturemixed,0.22374707608865305,0.1376422295577927,-0.046031693844620664,0.49352584602192673,0.10404116610307494,TRUE,TRUE,128,32,2,50.732031250000006,27.730809306940788,0.22374707608865305,raw biological sign retained,0.22241946118382988,0.22090124304254063,0.1234626310404785,-0.03348101191556346,0.48763545678811576,0.06793206793206794,1000,TRUE,-0.03348101191556346,0.48763545678811576,0.22241946118382988,-0.0013276149048231656,TRUE,TRUE,FALSE,FALSE,TRUE,0.5395575398665474,0.5211164687036792,0.9658218636562296,agrees
fagus,shoot_biomass,robiniawith-robinia,-1.1707984119985189,0.1376422295577927,-1.4405771819317925,-0.9010196420652452,1.7988359443927227e-17,FALSE,TRUE,128,32,2,50.732031250000006,27.730809306940788,-1.1707984119985189,raw biological sign retained,-1.166009698089452,-1.1637407950895726,0.11989515223805601,-1.4098286992893994,-0.9373138340825092,0.001998001998001998,1000,FALSE,-1.4098286992893994,-0.9373138340825092,-1.166009698089452,0.004788713909066766,TRUE,TRUE,TRUE,TRUE,TRUE,0.5395575398665473,0.4725148652068901,0.8757450879544018,agrees
quercus,root_biomass,precipitationdrought,-0.22981879506997144,0.16544690717749547,-0.5540947331378625,0.09445714299791969,0.16480878259921533,TRUE,TRUE,127,32,2,23.590551181102363,14.198269697121582,-0.22981879506997144,raw biological sign retained,-0.23507972628410992,-0.238050550384755,0.15395284964642392,-0.5146082972516077,0.08513625489807142,0.15184815184815184,1000,TRUE,-0.5146082972516077,0.08513625489807142,-0.23507972628410992,-0.005260931214138481,TRUE,TRUE,FALSE,FALSE,TRUE,0.6485518761357822,0.5997445521496791,0.9247441480288237,agrees
