species,effect,treatment_label,plot_order,lower_95,upper_95,p_boot,n_boot_success,estimate,path,metric
fagus,culture,Mixed culture,3,-0.45939066332843126,0.5211740564394383,0.9070929070929071,1000,0.028498303122744432,Treatment → pre-leaf-out SWC,a_treatment_to_swc
fagus,precipitation,Drought,1,-1.4824379383819528,-0.49952086309173777,0.001998001998001998,1000,-0.996449363970049,Treatment → pre-leaf-out SWC,a_treatment_to_swc
fagus,robinia,With robinia,2,-0.659096305796745,0.3873059722385752,0.6153846153846154,1000,-0.12040090549124728,Treatment → pre-leaf-out SWC,a_treatment_to_swc
quercus,culture,Mixed culture,3,-0.7801003969927381,0.17735926902410112,0.1878121878121878,1000,-0.31236712264752425,Treatment → pre-leaf-out SWC,a_treatment_to_swc
quercus,precipitation,Drought,1,-1.4267562652273058,-0.4180431831604607,0.001998001998001998,1000,-0.9175749753207777,Treatment → pre-leaf-out SWC,a_treatment_to_swc
quercus,robinia,With robinia,2,-0.960573756385312,-0.04255794800938318,0.03996003996003996,1000,-0.47927916805303505,Treatment → pre-leaf-out SWC,a_treatment_to_swc
fagus,culture,Mixed culture,3,-0.5084752635728021,0.05455256141739396,0.11988011988011989,1000,-0.22818512107674213,Treatment → phenology (direct),direct
fagus,precipitation,Drought,1,-0.18279059060360145,0.471700920361237,0.43756243756243757,1000,0.12987961032738357,Treatment → phenology (direct),direct
fagus,robinia,With robinia,2,-0.0405488265600385,0.4969692049620626,0.11988011988011989,1000,0.21469196567179719,Treatment → phenology (direct),direct
quercus,culture,Mixed culture,3,-0.13848599386529642,0.44651336634767574,0.3076923076923077,1000,0.16579845176376798,Treatment → phenology (direct),direct
quercus,precipitation,Drought,1,-0.7551376634158867,0.048729600258501204,0.07792207792207792,1000,-0.36376964403882417,Treatment → phenology (direct),direct
quercus,robinia,With robinia,2,-0.6975402592296502,-0.12376923758955609,0.003996003996003996,1000,-0.4134136397873084,Treatment → phenology (direct),direct
fagus,swc,Pre-leaf-out SWC,4,-0.09161503388378583,0.19979263015829007,0.48151848151848153,1000,0.05708164634874472,Pre-leaf-out SWC → phenology,b_swc_to_phenology
quercus,swc,Pre-leaf-out SWC,4,-0.49207714752294884,-0.10294951372260118,0.003996003996003996,1000,-0.29612381872886734,Pre-leaf-out SWC → phenology,b_swc_to_phenology
