response,summary_level,date,species,robinia,precipitation,culture,mean,sd,n,se
Diameter increment,treatment combination,2025-03-07,fagus,without-robinia,control,mono,0,0,48,0
Diameter increment,treatment combination,2025-03-07,fagus,without-robinia,control,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,fagus,without-robinia,drought,mono,0,0,48,0
Diameter increment,treatment combination,2025-03-07,fagus,without-robinia,drought,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,fagus,with-robinia,control,mono,0,0,40,0
Diameter increment,treatment combination,2025-03-07,fagus,with-robinia,control,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,fagus,with-robinia,drought,mono,0,0,48,0
Diameter increment,treatment combination,2025-03-07,fagus,with-robinia,drought,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,quercus,without-robinia,control,mono,0,0,48,0
Diameter increment,treatment combination,2025-03-07,quercus,without-robinia,control,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,quercus,without-robinia,drought,mono,0,0,48,0
Diameter increment,treatment combination,2025-03-07,quercus,without-robinia,drought,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,quercus,with-robinia,control,mono,0,0,56,0
Diameter increment,treatment combination,2025-03-07,quercus,with-robinia,control,mixed,0,0,24,0
Diameter increment,treatment combination,2025-03-07,quercus,with-robinia,drought,mono,0,0,48,0
Diameter increment,treatment combination,2025-03-07,quercus,with-robinia,drought,mixed,0,0,24,0
Diameter increment,treatment combination,2025-05-08,fagus,without-robinia,control,mono,0.2504166666666668,0.34743411028986176,48,0.05014779427537746
Diameter increment,treatment combination,2025-05-08,fagus,without-robinia,control,mixed,0.18249999999999977,0.24360070678843718,24,0.049724786051084116
Diameter increment,treatment combination,2025-05-08,fagus,without-robinia,drought,mono,0.22583333333333339,0.25427270779436417,48,0.03670110407316281
Diameter increment,treatment combination,2025-05-08,fagus,without-robinia,drought,mixed,0.11541666666666658,0.16790212383530395,24,0.03427287751050734
Diameter increment,treatment combination,2025-05-08,fagus,with-robinia,control,mono,0.20949999999999994,0.30030710776529895,40,0.047482722903799145
Diameter increment,treatment combination,2025-05-08,fagus,with-robinia,control,mixed,0.20624999999999996,0.18194152190004453,24,0.03713865764004334
Diameter increment,treatment combination,2025-05-08,fagus,with-robinia,drought,mono,0.1606249999999999,0.22671010873857236,48,0.032722785577056025
Diameter increment,treatment combination,2025-05-08,fagus,with-robinia,drought,mixed,0.40791666666666665,0.9451752962174317,24,0.19293309943472092
Diameter increment,treatment combination,2025-05-08,quercus,without-robinia,control,mono,0.8108333333333333,0.3812177204100171,48,0.05502403837464472
Diameter increment,treatment combination,2025-05-08,quercus,without-robinia,control,mixed,0.97125,0.28993721209344914,24,0.05918318558950455
Diameter increment,treatment combination,2025-05-08,quercus,without-robinia,drought,mono,0.7499999999999998,0.39049341400717463,48,0.056362869423454566
Diameter increment,treatment combination,2025-05-08,quercus,without-robinia,drought,mixed,1.0933333333333335,0.49205572914021656,24,0.10044045511722152
Diameter increment,treatment combination,2025-05-08,quercus,with-robinia,control,mono,0.6428571428571428,0.3387609201766949,56,0.04526883211890957
Diameter increment,treatment combination,2025-05-08,quercus,with-robinia,control,mixed,0.8075,0.39052083393735915,24,0.07971473142272452
Diameter increment,treatment combination,2025-05-08,quercus,with-robinia,drought,mono,0.6366666666666666,0.3487810587608717,48,0.050342209540957986
Diameter increment,treatment combination,2025-05-08,quercus,with-robinia,drought,mixed,0.4670833333333333,0.9410977825029042,24,0.19210078043307152
Diameter increment,treatment combination,2025-06-11,fagus,without-robinia,control,mono,1.7679166666666668,0.41498504629984223,48,0.05989793204772081
Diameter increment,treatment combination,2025-06-11,fagus,without-robinia,control,mixed,2.140833333333333,0.7839970977467724,24,0.160032737441875
Diameter increment,treatment combination,2025-06-11,fagus,without-robinia,drought,mono,1.5372916666666667,0.6188380999676987,48,0.08932158590028685
Diameter increment,treatment combination,2025-06-11,fagus,without-robinia,drought,mixed,1.63625,0.607008434150988,24,0.12390507776964363
Diameter increment,treatment combination,2025-06-11,fagus,with-robinia,control,mono,1.46525,0.5499882865885553,40,0.08696078360166362
Diameter increment,treatment combination,2025-06-11,fagus,with-robinia,control,mixed,1.3679166666666664,0.5665300879738958,24,0.11564246995584246
Diameter increment,treatment combination,2025-06-11,fagus,with-robinia,drought,mono,0.8239583333333333,0.4495375381733435,48,0.06488515466880539
Diameter increment,treatment combination,2025-06-11,fagus,with-robinia,drought,mixed,1.24,1.1327112529716903,24,0.23121371630743645
Diameter increment,treatment combination,2025-06-11,quercus,without-robinia,control,mono,1.5041666666666667,0.6128025378167178,48,0.08845042754214197
Diameter increment,treatment combination,2025-06-11,quercus,without-robinia,control,mixed,1.6795833333333332,0.5353136355500362,24,0.10927043828764885
Diameter increment,treatment combination,2025-06-11,quercus,without-robinia,drought,mono,1.4964583333333332,0.6184314048318288,48,0.0892628845137437
Diameter increment,treatment combination,2025-06-11,quercus,without-robinia,drought,mixed,1.7566666666666666,0.6692543980246691,24,0.13661098193949647
Diameter increment,treatment combination,2025-06-11,quercus,with-robinia,control,mono,0.9498214285714285,0.5208855783320228,56,0.0696062632796439
Diameter increment,treatment combination,2025-06-11,quercus,with-robinia,control,mixed,1.1683333333333332,0.5917084084071395,24,0.12078197309265398
Diameter increment,treatment combination,2025-06-11,quercus,with-robinia,drought,mono,0.8652083333333332,0.4596575486780757,48,0.06634585236608263
Diameter increment,treatment combination,2025-06-11,quercus,with-robinia,drought,mixed,0.9558333333333332,1.619556881604849,24,0.3305906641120823
