species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-03-07,culture,mixed - mono,0.00166652251591488,-0.0145049294265693,0.02034174879732888,0.913086913086913
fagus,2025-03-07,precipitation,drought - control,0.02849663280045265,-0.00210256498300997,0.05734355950846144,0.07592407592407592
fagus,2025-03-07,robinia,with-robinia - without-robinia,-0.04816340293798632,-0.0785272995652923,-0.01005220602163835,0.00599400599400599
fagus,2025-05-08,culture,mixed - mono,0.01135114023893579,-0.0480788717224296,0.08888418283157172,0.7532467532467533
fagus,2025-05-08,precipitation,drought - control,0.02680093711343073,-0.0328858825276947,0.09638122961135363,0.4795204795204795
fagus,2025-05-08,robinia,with-robinia - without-robinia,-0.0371521297148143,-0.0954690993368073,0.04594329407529077,0.3996003996003996
fagus,2025-06-11,culture,mixed - mono,0.12599039628140515,-0.00523390637511102,0.26922106511303057,0.06393606393606394
fagus,2025-06-11,precipitation,drought - control,-0.2079170905257016,-0.3362379723533135,-0.07010477296149532,0.00399600399600399
fagus,2025-06-11,robinia,with-robinia - without-robinia,-0.37856022913891657,-0.49647925600847487,-0.2476850328161068,0.00199800199800199
fagus,2025-07-09,culture,mixed - mono,0.2925060190167239,0.12359410806807394,0.46725593056758824,0.00199800199800199
fagus,2025-07-09,precipitation,drought - control,-0.4370242741566539,-0.6033971691207286,-0.2755800842261406,0.00199800199800199
fagus,2025-07-09,robinia,with-robinia - without-robinia,-0.9214603620313314,-1.0827971216586916,-0.7686645793359306,0.00199800199800199
fagus,2025-08-05,culture,mixed - mono,0.3221823221390633,0.1187159931135336,0.5398732580815625,0.00199800199800199
fagus,2025-08-05,precipitation,drought - control,-0.6652363806173713,-0.8646500005154012,-0.4669464005704706,0.00199800199800199
fagus,2025-08-05,robinia,with-robinia - without-robinia,-1.1761339202060073,-1.379186959697999,-0.9948021519058716,0.00199800199800199
fagus,2025-09-01,culture,mixed - mono,0.391758937589177,0.16406040525162202,0.6222736656316604,0.00199800199800199
fagus,2025-09-01,precipitation,drought - control,-0.7014883088899007,-0.911164980931425,-0.49002065259938343,0.00199800199800199
fagus,2025-09-01,robinia,with-robinia - without-robinia,-1.2420992836232223,-1.4526416249311838,-1.065958516937173,0.00199800199800199
fagus,2025-09-29,culture,mixed - mono,0.3406398687204885,0.11504967854563976,0.5836537098376193,0.00399600399600399
fagus,2025-09-29,precipitation,drought - control,-0.6980018074233052,-0.9290165340661148,-0.4799679764309226,0.00199800199800199
