species,biomass_response,treatment,estimate,lower_95,upper_95,p_value,n_trees,n_containers
fagus,root_biomass,precipitationdrought,-0.2214965441421845,-0.4400790875607286,-0.00245282491653446,0.05194805194805195,128,32
fagus,root_biomass,culturemixed,0.22557359890583065,0.00112684047721062,0.44180668065952966,0.05194805194805195,128,32
fagus,root_biomass,robiniawith-robinia,-1.4560006089549584,-1.6771232476666365,-1.224903584007244,0.00199800199800199,128,32
fagus,root_shoot_biomass,precipitationdrought,0.3558676232060894,0.05685243295360948,0.7013323133653309,0.01998001998001998,128,32
fagus,root_shoot_biomass,culturemixed,-0.0332554788701741,-0.3185883503457292,0.31032853572102204,0.8091908091908092,128,32
fagus,root_shoot_biomass,robiniawith-robinia,-0.6426079341069367,-0.9396141511305512,-0.3074895009086916,0.00199800199800199,128,32
fagus,shoot_biomass,precipitationdrought,-0.4457474487376809,-0.6626145833101224,-0.2035988576216876,0.00199800199800199,128,32
fagus,shoot_biomass,culturemixed,0.22374707608865305,-0.03348101191556346,0.48763545678811576,0.06793206793206794,128,32
fagus,shoot_biomass,robiniawith-robinia,-1.1707984119985189,-1.4098286992893994,-0.9373138340825092,0.00199800199800199,128,32
quercus,root_biomass,precipitationdrought,-0.22981879506997144,-0.5146082972516077,0.08513625489807142,0.15184815184815184,127,32
quercus,root_biomass,culturemixed,-0.18403856875607263,-0.49295740312523145,0.11218735006340874,0.2177822177822178,127,32
quercus,root_biomass,robiniawith-robinia,-0.7152787616217706,-1.0322566413408838,-0.4154131809108329,0.00199800199800199,127,32
quercus,root_shoot_biomass,precipitationdrought,0.37002312059379466,0.06366088086453472,0.6717593564083474,0.02197802197802198,127,32
quercus,root_shoot_biomass,culturemixed,0.07029188491233251,-0.23811308317587865,0.4024676818653592,0.6733266733266733,127,32
quercus,root_shoot_biomass,robiniawith-robinia,1.1305263432273158,0.830339279062674,1.4587874629887654,0.00199800199800199,127,32
quercus,shoot_biomass,precipitationdrought,-0.34648014074806033,-0.6129079308689477,-0.09651635655777673,0.00799200799200799,127,32
quercus,shoot_biomass,culturemixed,-0.19528329862209975,-0.4822705006776607,0.07960176646566222,0.16983016983016982,127,32
quercus,shoot_biomass,robiniawith-robinia,-1.0552992775543284,-1.3265887003302534,-0.8000760896365042,0.00199800199800199,127,32
