species,response,treatment,estimate,lower_95,upper_95,p_value,significant
fagus,Chlorophyll,culture,0.1010624685772112,-0.08364139615548127,0.2970447806167823,0.2997002997002997,FALSE
fagus,Leaf-out,culture,-0.2265583910163503,-0.5112632502870604,0.05700896276932677,0.12787212787212787,FALSE
fagus,Quantum yield,culture,-0.05141156716201579,-0.2641704490640859,0.19022911000402373,0.6733266733266733,FALSE
fagus,Senescence (%),culture,0.03524142313625963,-0.0820215400716911,0.1637072014018051,0.5854145854145855,FALSE
fagus,Senescence (Chl),culture,0.46302515192580224,0.1856161265480186,0.7476971190448518,0.00399600399600399,TRUE
fagus,Vitality,culture,-0.02575348350389294,-0.22826946752222077,0.16967966571790166,0.7632367632367633,FALSE
fagus,Volume (phase incr.),culture,0.13081819221640864,0.001741690727024,0.25799112884164505,0.04995004995004995,TRUE
fagus,Volume (total),culture,0.2707517746454565,0.05207181356785013,0.4791493820219566,0.01398601398601398,TRUE
fagus,Chlorophyll,extreme_event,-0.03998313844156676,-0.13934285326457235,0.05919451591304778,0.4435564435564436,FALSE
fagus,Leaf-out,extreme_event,,,,,FALSE
fagus,Quantum yield,extreme_event,-0.09196584368680294,-0.158009696621918,-0.02358241022686882,0.00799200799200799,TRUE
fagus,Senescence (%),extreme_event,,,,,FALSE
fagus,Senescence (Chl),extreme_event,,,,,FALSE
fagus,Vitality,extreme_event,-0.04328639024392469,-0.08857699009225653,-0.00251104259432274,0.04195804195804196,TRUE
fagus,Volume (phase incr.),extreme_event,-0.4415790051151624,-0.6544377613271954,-0.21557000958972364,0.00199800199800199,TRUE
fagus,Volume (total),extreme_event,0.08315170287717875,0.0379720115960912,0.1372109759391623,0.00199800199800199,TRUE
fagus,Chlorophyll,precipitation,-0.37503315195033093,-0.6003527038549495,-0.19297324630206208,0.00199800199800199,TRUE
fagus,Leaf-out,precipitation,0.07300064012881363,-0.180392478204086,0.3304173806912273,0.5734265734265734,FALSE
fagus,Quantum yield,precipitation,-0.15124883481047777,-0.3754365073800968,0.07199064316593311,0.21578421578421575,FALSE
fagus,Senescence (%),precipitation,0.01375653860477627,-0.11143421873075451,0.15236359598037882,0.8991008991008991,FALSE
fagus,Senescence (Chl),precipitation,-0.574485257557238,-0.8850880132867219,-0.26995251170443696,0.00199800199800199,TRUE
fagus,Vitality,precipitation,-0.32976670825925847,-0.5267915422178263,-0.11032422194040412,0.00599400599400599,TRUE
fagus,Volume (phase incr.),precipitation,-0.2864132319176716,-0.417260313131132,-0.1662871959216406,0.00199800199800199,TRUE
fagus,Volume (total),precipitation,-0.33544725385288865,-0.5089988685510369,-0.13508333101683237,0.00399600399600399,TRUE
fagus,Chlorophyll,robinia,-0.7980679631144187,-0.9902401332199304,-0.6028665080901439,0.00199800199800199,TRUE
fagus,Leaf-out,robinia,0.20781928376447717,-0.05037086440781022,0.4763913526844763,0.14185814185814186,FALSE
fagus,Quantum yield,robinia,-1.0633568600471326,-1.2771581954456883,-0.8240372978020486,0.00199800199800199,TRUE
fagus,Senescence (%),robinia,-1.6137885735429494,-1.718346958191481,-1.4942367364988778,0.00199800199800199,TRUE
fagus,Senescence (Chl),robinia,-0.6534450665064145,-0.9219113703938016,-0.3751338768863381,0.00199800199800199,TRUE
fagus,Vitality,robinia,-0.6236149849895334,-0.8316117545817343,-0.42371455236255345,0.00199800199800199,TRUE
fagus,Volume (phase incr.),robinia,-0.46691279544710257,-0.603000338296637,-0.32835453210590837,0.00199800199800199,TRUE
fagus,Volume (total),robinia,-0.6214439892219438,-0.8525836744196151,-0.4288039861131069,0.00199800199800199,TRUE
quercus,Chlorophyll,culture,-0.11951879311988918,-0.31334578275037767,0.04905254250509203,0.14785214785214784,FALSE
quercus,Leaf-out,culture,0.2582977969675013,-0.05615511041583614,0.5523895928644466,0.12387612387612389,FALSE
quercus,Quantum yield,culture,0.12833945925384097,-0.04466406748093766,0.3170170921501358,0.17582417582417584,FALSE
quercus,Senescence (%),culture,,,,,FALSE
quercus,Senescence (Chl),culture,,,,,FALSE
quercus,Vitality,culture,0.05722884769236019,-0.03195591257685967,0.20437639814059513,0.4615384615384616,FALSE
quercus,Volume (phase incr.),culture,-0.1669566079398044,-0.28890416987590295,-0.04753458764847877,0.00799200799200799,TRUE
quercus,Volume (total),culture,-0.00176003219666237,-0.1387915132413727,0.13822707856144542,0.975024975024975,FALSE
quercus,Chlorophyll,extreme_event,-0.08880929420267913,-0.2173936300675105,0.01239094770192126,0.0899100899100899,FALSE
quercus,Leaf-out,extreme_event,,,,,FALSE
quercus,Quantum yield,extreme_event,-0.31046759659534995,-0.4246737461184059,-0.1949620269835468,0.00199800199800199,TRUE
quercus,Senescence (%),extreme_event,,,,,FALSE
quercus,Senescence (Chl),extreme_event,,,,,FALSE
quercus,Vitality,extreme_event,0.0058607286812779,-0.03121564284141566,0.05008362948210755,0.8411588411588412,FALSE
quercus,Volume (phase incr.),extreme_event,-0.14708782518130878,-0.377821807313893,0.11571299674493687,0.27372627372627373,FALSE
quercus,Volume (total),extreme_event,-0.06572971745002885,-0.08761835789748784,-0.04252649558923809,0.00199800199800199,TRUE
quercus,Chlorophyll,precipitation,0.0655245007016217,-0.10244775742547577,0.23732932870351717,0.4355644355644356,FALSE
quercus,Leaf-out,precipitation,-0.09205383837678928,-0.435560844159411,0.26833122248754104,0.6413586413586414,FALSE
quercus,Quantum yield,precipitation,0.18173546825060913,0.01696345050355257,0.38912107448588246,0.02997002997002997,TRUE
quercus,Senescence (%),precipitation,,,,,FALSE
quercus,Senescence (Chl),precipitation,,,,,FALSE
quercus,Vitality,precipitation,0.08171740582317782,-0.01688001547208202,0.24719192443239651,0.23776223776223776,FALSE
quercus,Volume (phase incr.),precipitation,-0.16205036962009656,-0.2820182388725649,-0.03614304849870189,0.01198801198801198,TRUE
quercus,Volume (total),precipitation,-0.16648665798709808,-0.29461991792170167,-0.03371593720188787,0.01998001998001998,TRUE
quercus,Chlorophyll,robinia,0.1010141743903679,-0.09310753794616268,0.2781981213493736,0.3116883116883117,FALSE
