species,robinia,precipitation,culture,phase,date,mean,sd,n,se
fagus,without-robinia,control,mono,until June,2025-03-07,0,0,48,0
fagus,without-robinia,control,mono,until June,2025-05-08,21.61424899019349,13.052667388280918,48,1.8839902575666594
fagus,without-robinia,control,mono,until June,2025-06-11,61.48831328028455,19.309904243830776,48,2.787144603300399
fagus,without-robinia,control,mono,July-August,2025-06-11,0,0,48,0
fagus,without-robinia,control,mono,July-August,2025-07-09,33.90587443027487,24.064221306023406,48,3.4733711622178354
fagus,without-robinia,control,mono,July-August,2025-08-05,53.25360651870973,29.388868863271348,48,4.241917837347081
fagus,without-robinia,control,mono,July-August,2025-09-01,56.186166836638414,29.458384756267243,48,4.251951592230616
fagus,without-robinia,control,mono,September+,2025-09-01,0,0,48,0
fagus,without-robinia,control,mono,September+,2025-09-29,4.7708291996720416,7.063069846504295,48,1.0194663192960958
fagus,without-robinia,control,mono,September+,2025-11-05,4.818387630128256,6.341947019517706,48,0.9153812047262231
fagus,without-robinia,control,mono,September+,2025-12-02,4.818387630128256,6.341947019517706,48,0.9153812047262231
fagus,without-robinia,control,mixed,until June,2025-03-07,0,0,24,0
fagus,without-robinia,control,mixed,until June,2025-05-08,20.3552847289419,12.080943569974059,24,2.466012279816154
fagus,without-robinia,control,mixed,until June,2025-06-11,70.29627634052768,23.775938844470925,24,4.853243193714305
fagus,without-robinia,control,mixed,July-August,2025-06-11,0,0,24,0
fagus,without-robinia,control,mixed,July-August,2025-07-09,48.16047831372485,23.19165445572591,24,4.733976642289368
fagus,without-robinia,control,mixed,July-August,2025-08-05,74.06805596239855,28.39834428276258,24,5.796787752721021
fagus,without-robinia,control,mixed,July-August,2025-09-01,82.32249570278658,32.51872397338815,24,6.637856735100976
fagus,without-robinia,control,mixed,September+,2025-09-01,0,0,24,0
fagus,without-robinia,control,mixed,September+,2025-09-29,3.409044732741169,4.821516830829132,24,0.9841880018143679
fagus,without-robinia,control,mixed,September+,2025-11-05,5.033449231527084,4.1292640586709135,24,0.8428824964131366
fagus,without-robinia,control,mixed,September+,2025-12-02,5.033449231527084,4.1292640586709135,24,0.8428824964131366
fagus,without-robinia,drought,mono,until June,2025-03-07,0,0,48,0
fagus,without-robinia,drought,mono,until June,2025-05-08,21.655901790126695,12.696381559813439,48,1.8325648278231226
fagus,without-robinia,drought,mono,until June,2025-06-11,54.44851999853789,19.123370863915678,48,2.760220829023691
fagus,without-robinia,drought,mono,July-August,2025-06-11,0,0,48,0
fagus,without-robinia,drought,mono,July-August,2025-07-09,10.020042530420772,9.136778790188673,48,1.3187804235103735
fagus,without-robinia,drought,mono,July-August,2025-08-05,15.037606909034777,11.71476196733035,48,1.690880243832642
fagus,without-robinia,drought,mono,July-August,2025-09-01,17.031708993610053,12.35583685382188,48,1.7834114334042905
fagus,without-robinia,drought,mono,September+,2025-09-01,0,0,48,0
fagus,without-robinia,drought,mono,September+,2025-09-29,3.460664578557209,6.164400327511516,48,0.8897545471203478
fagus,without-robinia,drought,mono,September+,2025-11-05,4.930964256069152,7.442787249006407,48,1.0742738054337408
fagus,without-robinia,drought,mono,September+,2025-12-02,4.930964256069152,7.442787249006407,48,1.0742738054337408
fagus,without-robinia,drought,mixed,until June,2025-03-07,0,0,24,0
fagus,without-robinia,drought,mixed,until June,2025-05-08,19.709933945356493,6.687157804371709,24,1.3650103708484151
fagus,without-robinia,drought,mixed,until June,2025-06-11,59.14694819181796,17.299387586598424,24,3.53122270415029
fagus,without-robinia,drought,mixed,July-August,2025-06-11,0,0,24,0
fagus,without-robinia,drought,mixed,July-August,2025-07-09,27.997417211222633,15.451209207344437,24,3.1539648722489333
fagus,without-robinia,drought,mixed,July-August,2025-08-05,42.96265844858631,19.342621445865518,24,3.9482960691821263
fagus,without-robinia,drought,mixed,July-August,2025-09-01,47.2500546917124,23.192929014934116,24,4.73423681059829
fagus,without-robinia,drought,mixed,September+,2025-09-01,0,0,24,0
fagus,without-robinia,drought,mixed,September+,2025-09-29,2.901936876996495,5.09325180795367,24,1.0396556717495327
fagus,without-robinia,drought,mixed,September+,2025-11-05,3.073233838097719,3.7851659011555987,24,0.7726437541344404
fagus,without-robinia,drought,mixed,September+,2025-12-02,3.073233838097719,3.7851659011555987,24,0.7726437541344404
fagus,with-robinia,control,mono,until June,2025-03-07,0,0,40,0
fagus,with-robinia,control,mono,until June,2025-05-08,35.728318154761496,102.09484620672114,40,16.142612568892034
fagus,with-robinia,control,mono,until June,2025-06-11,72.85528059690137,142.01407647247012,40,22.454397072916805
fagus,with-robinia,control,mono,July-August,2025-06-11,0,0,40,0
fagus,with-robinia,control,mono,July-August,2025-07-09,5.212893051495354,8.75368524533132,40,1.3840791647728397
fagus,with-robinia,control,mono,July-August,2025-08-05,15.409336295594859,15.09005210393703,40,2.3859467329528457
fagus,with-robinia,control,mono,July-August,2025-09-01,16.668838884884014,13.412732528914905,40,2.1207392219000667
fagus,with-robinia,control,mono,September+,2025-09-01,0,0,40,0
fagus,with-robinia,control,mono,September+,2025-09-29,3.3662577106217686,6.758831166247417,40,1.0686650402937
fagus,with-robinia,control,mono,September+,2025-11-05,4.751680397511872,6.432600466634933,40,1.017083437621417
fagus,with-robinia,control,mono,September+,2025-12-02,4.751680397511872,6.432600466634933,40,1.017083437621417
fagus,with-robinia,control,mixed,until June,2025-03-07,0,0,24,0
fagus,with-robinia,control,mixed,until June,2025-05-08,15.083944911667713,10.454881999619648,24,2.1340938516730676
fagus,with-robinia,control,mixed,until June,2025-06-11,43.64376556494842,19.26670674990992,24,3.9328000467596476
fagus,with-robinia,control,mixed,July-August,2025-06-11,0,0,24,0
fagus,with-robinia,control,mixed,July-August,2025-07-09,4.069146463227051,6.437994524010002,24,1.3141501292213975
fagus,with-robinia,control,mixed,July-August,2025-08-05,6.483530366262014,7.460965755018114,24,1.5229632573477851
fagus,with-robinia,control,mixed,July-August,2025-09-01,9.414510500753146,9.738849326407724,24,1.9879342942955487
fagus,with-robinia,control,mixed,September+,2025-09-01,0,0,24,0
fagus,with-robinia,control,mixed,September+,2025-09-29,3.260196680838079,6.85211814265949,24,1.3986827588985786
fagus,with-robinia,control,mixed,September+,2025-11-05,3.4609310180780275,7.097986360283503,24,1.448870398660779
fagus,with-robinia,control,mixed,September+,2025-12-02,3.4609310180780275,7.097986360283503,24,1.448870398660779
fagus,with-robinia,drought,mono,until June,2025-03-07,0,0,48,0
fagus,with-robinia,drought,mono,until June,2025-05-08,21.06607733179757,10.646692031412377,48,1.5367176275787449
fagus,with-robinia,drought,mono,until June,2025-06-11,37.687549765644675,13.912546191824696,48,2.0081030722407727
fagus,with-robinia,drought,mono,July-August,2025-06-11,0,0,48,0
fagus,with-robinia,drought,mono,July-August,2025-07-09,1.3350587052947462,5.647894778197718,48,0.8152033926367835
fagus,with-robinia,drought,mono,July-August,2025-08-05,2.314030954756277,6.326807868882674,48,0.9131960565526136
fagus,with-robinia,drought,mono,July-August,2025-09-01,1.326763941709139,7.579771052194374,48,1.0940457143450388
fagus,with-robinia,drought,mono,September+,2025-09-01,0,0,48,0
fagus,with-robinia,drought,mono,September+,2025-09-29,5.957228336665411,6.835825365096142,48,0.9866664036678824
fagus,with-robinia,drought,mono,September+,2025-11-05,5.765863261598555,8.09109515692566,48,1.1678489917224768
fagus,with-robinia,drought,mono,September+,2025-12-02,5.765863261598555,8.09109515692566,48,1.1678489917224768
fagus,with-robinia,drought,mixed,until June,2025-03-07,0,0,24,0
fagus,with-robinia,drought,mixed,until June,2025-05-08,33.03553827683134,53.75659938528333,24,10.973019900096336
fagus,with-robinia,drought,mixed,until June,2025-06-11,59.666687356062496,74.6244154568639,24,15.232645018564883
fagus,with-robinia,drought,mixed,July-August,2025-06-11,0,0,24,0
fagus,with-robinia,drought,mixed,July-August,2025-07-09,2.8669108522719715,3.8468294448991975,24,0.7852307722930744
fagus,with-robinia,drought,mixed,July-August,2025-08-05,3.6597226109461727,3.3616938801440024,24,0.6862028898158098
fagus,with-robinia,drought,mixed,July-August,2025-09-01,3.8725755198336738,7.686919281476052,24,1.5690858277981523
fagus,with-robinia,drought,mixed,September+,2025-09-01,0,0,24,0
fagus,with-robinia,drought,mixed,September+,2025-09-29,2.9110923366754493,7.586578755684227,24,1.5486039037387733
fagus,with-robinia,drought,mixed,September+,2025-11-05,4.19844725686724,7.394340683206682,24,1.5093634715132604
fagus,with-robinia,drought,mixed,September+,2025-12-02,4.19844725686724,7.394340683206682,24,1.5093634715132604
quercus,without-robinia,control,mono,until June,2025-03-07,0,0,48,0
quercus,without-robinia,control,mono,until June,2025-05-08,45.15690715825645,19.754240214593484,48,2.85127897638302
quercus,without-robinia,control,mono,until June,2025-06-11,89.65951024510657,36.73674745290898,48,5.302492757772074
quercus,without-robinia,control,mono,July-August,2025-06-11,0,0,48,0
quercus,without-robinia,control,mono,July-August,2025-07-09,54.75870041741462,19.84479782778307,48,2.864349841971064
quercus,without-robinia,control,mono,July-August,2025-08-05,101.73655924251067,33.65553173865865,48,4.857757577258642
quercus,without-robinia,control,mono,July-August,2025-09-01,175.90998480235166,51.768923015616075,48,7.472200409680739
quercus,without-robinia,control,mono,September+,2025-09-01,0,0,48,0
quercus,without-robinia,control,mono,September+,2025-09-29,32.65042499992734,19.150096807955475,48,2.7640783867701217
quercus,without-robinia,control,mono,September+,2025-11-05,37.995157147641166,20.60827629139373,48,2.974548466092588
quercus,without-robinia,control,mono,September+,2025-12-02,39.00856876743693,20.442182443056595,48,2.9505748840805417
quercus,without-robinia,control,mixed,until June,2025-03-07,0,0,24,0
quercus,without-robinia,control,mixed,until June,2025-05-08,53.98693424198894,16.21580899651521,24,3.310038150657933
quercus,without-robinia,control,mixed,until June,2025-06-11,97.12725011293492,34.897978975303346,24,7.123520128655713
quercus,without-robinia,control,mixed,July-August,2025-06-11,0,0,24,0
