species,date,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-06-13,culture,mixed - mono,0.0011820542830216403,-0.014921527648574576,0.015449566833808055,0.8671328671328671
fagus,2025-06-13,precipitation,drought - control,0.03806178932808406,-0.00663440148431864,0.08678876646041053,0.0899100899100899
fagus,2025-06-13,robinia,with-robinia - without-robinia,-0.01631270770283846,-0.056795425181888154,0.0355532039195927,0.5334665334665335
fagus,2025-06-26,culture,mixed - mono,-0.05866265334927602,-0.31518592729968414,0.20916365305033383,0.6713286713286714
fagus,2025-06-26,precipitation,drought - control,-0.3285973780830564,-0.5891254060948536,-0.07188611004113152,0.007992007992007992
fagus,2025-06-26,robinia,with-robinia - without-robinia,-0.5905747546881763,-0.8699455546246522,-0.3039876793267644,0.001998001998001998
fagus,2025-07-10,culture,mixed - mono,-0.032910893095970686,-0.2866665654159449,0.22457544353984066,0.8131868131868132
fagus,2025-07-10,precipitation,drought - control,-0.46925009432517767,-0.7255732037626663,-0.19931342672404873,0.001998001998001998
fagus,2025-07-10,robinia,with-robinia - without-robinia,-0.8572720763860576,-1.1231753652912821,-0.5761988741469628,0.001998001998001998
fagus,2025-07-24,culture,mixed - mono,-0.03496308992849651,-0.2866162994941392,0.2163300159137791,0.7812187812187812
fagus,2025-07-24,precipitation,drought - control,-0.47485501900755916,-0.7297553872528619,-0.20724167344796318,0.001998001998001998
fagus,2025-07-24,robinia,with-robinia - without-robinia,-0.8631418006597327,-1.1240271637758101,-0.5824703872712335,0.001998001998001998
fagus,2025-08-06,culture,mixed - mono,-0.004113937542791907,-0.23336200278827315,0.23859772221361494,0.961038961038961
fagus,2025-08-06,precipitation,drought - control,-0.4738840871728169,-0.720637753862272,-0.21730381346337554,0.001998001998001998
fagus,2025-08-06,robinia,with-robinia - without-robinia,-0.818214136670251,-1.0697288849438324,-0.5487300733718563,0.001998001998001998
fagus,2025-08-22,culture,mixed - mono,-0.09546979653908673,-0.31576370669760484,0.1382188342291587,0.44155844155844154
fagus,2025-08-22,precipitation,drought - control,-0.38914821795886095,-0.6298253624821064,-0.13409833985099703,0.003996003996003996
fagus,2025-08-22,robinia,with-robinia - without-robinia,-0.9373739527523757,-1.1820792632437198,-0.6886677727094921,0.001998001998001998
fagus,2025-09-05,culture,mixed - mono,-0.09169640236315453,-0.27511353114492776,0.1226300374509879,0.37362637362637363
fagus,2025-09-05,precipitation,drought - control,0.17527211088346722,-0.01565928050096747,0.3966442311018534,0.07192807192807193
fagus,2025-09-05,robinia,with-robinia - without-robinia,-1.9837295377490833,-2.1689271389154476,-1.7557329404556,0.001998001998001998
fagus,2025-09-19,culture,mixed - mono,-0.03860408430878519,-0.21208794910724582,0.1777608602417865,0.6753246753246753
fagus,2025-09-19,precipitation,drought - control,0.17147665007492585,-0.012382980304938824,0.38709823269935273,0.06993006993006994
fagus,2025-09-19,robinia,with-robinia - without-robinia,-2.0545192951549076,-2.232587312924889,-1.8368510021744064,0.001998001998001998
fagus,2025-10-03,culture,mixed - mono,-0.027548701372276524,-0.1935528132249294,0.17732569130592585,0.7272727272727273
fagus,2025-10-03,precipitation,drought - control,0.1833484984179231,0.006779591077936528,0.38425988960703483,0.04195804195804196
fagus,2025-10-03,robinia,with-robinia - without-robinia,-2.0950777658880453,-2.265711196178885,-1.884675735916461,0.001998001998001998
fagus,2025-10-16,culture,mixed - mono,0.0029032516264897155,-0.15165907155316966,0.20791300851328856,0.981018981018981
fagus,2025-10-16,precipitation,drought - control,0.14936588420190955,-0.017786528401815174,0.34200132458885624,0.07992007992007992
fagus,2025-10-16,robinia,with-robinia - without-robinia,-2.1528923433204827,-2.3091840987738874,-1.9450400034585258,0.001998001998001998
fagus,2025-11-04,culture,mixed - mono,0.1118682834438066,0.005399226339898435,0.2338212354922276,0.04795204795204795
fagus,2025-11-04,precipitation,drought - control,-0.03237490195594115,-0.1585794553475427,0.0874043441371597,0.6533466533466533
fagus,2025-11-04,robinia,with-robinia - without-robinia,-0.4278112725730413,-0.5588437964388927,-0.2960040093435995,0.001998001998001998
quercus,2025-06-13,culture,mixed - mono,0.04690722656871385,-1.5063623267129946e-4,0.167914859661571,0.2817182817182817
quercus,2025-06-13,precipitation,drought - control,0.050979388509410924,-5.964660032127591e-5,0.18245737788785252,0.23176823176823177
quercus,2025-06-13,robinia,with-robinia - without-robinia,-0.058484310754841,-0.17719572305088044,4.368504932982583e-14,0.22977022977022976
quercus,2025-06-26,culture,mixed - mono,-0.056671888523963404,-0.23859299803210915,0.11039108691331234,0.5454545454545454
quercus,2025-06-26,precipitation,drought - control,0.04925306992451705,-0.06904538721038889,0.19660030060044056,0.4275724275724276
quercus,2025-06-26,robinia,with-robinia - without-robinia,-0.12494757627265175,-0.2734645368480648,-4.9313615586368595e-11,0.03996003996003996
quercus,2025-07-10,culture,mixed - mono,0.08251254738180497,-9.527411326650107e-13,0.26665894140741436,0.06393606393606394
quercus,2025-07-10,precipitation,drought - control,0.06435835754219714,-0.03963842516660514,0.25741948628216316,0.5694305694305695
