tree_id,boxlabel,species,robinia,precipitation,culture,metric,value
210,b2-p1-c3,quercus,with robinia,control,mixed,Root biomass (g),18.5
210,b2-p1-c3,quercus,with robinia,control,mixed,Shoot biomass (g),19.799999999999994
210,b2-p1-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),0.9343434343434347
211,b2-p1-c3,quercus,with robinia,control,mixed,Root biomass (g),39.400000000000006
211,b2-p1-c3,quercus,with robinia,control,mixed,Shoot biomass (g),30.4
211,b2-p1-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.2960526315789476
214,b2-p1-c3,quercus,with robinia,control,mixed,Root biomass (g),34.30000000000001
214,b2-p1-c3,quercus,with robinia,control,mixed,Shoot biomass (g),34.20000000000001
214,b2-p1-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.0029239766081872
215,b2-p1-c3,quercus,with robinia,control,mixed,Root biomass (g),11.900000000000002
215,b2-p1-c3,quercus,with robinia,control,mixed,Shoot biomass (g),11.1
215,b2-p1-c3,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.0720720720720722
505,b3-p4-c4,quercus,with robinia,control,mixed,Root biomass (g),18.099999999999994
505,b3-p4-c4,quercus,with robinia,control,mixed,Shoot biomass (g),13.000000000000002
505,b3-p4-c4,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.3923076923076916
508,b3-p4-c4,quercus,with robinia,control,mixed,Root biomass (g),15.8
508,b3-p4-c4,quercus,with robinia,control,mixed,Shoot biomass (g),8.1
508,b3-p4-c4,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.9506172839506175
509,b3-p4-c4,quercus,with robinia,control,mixed,Root biomass (g),7.699999999999998
509,b3-p4-c4,quercus,with robinia,control,mixed,Shoot biomass (g),6.299999999999999
509,b3-p4-c4,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.222222222222222
512,b3-p4-c4,quercus,with robinia,control,mixed,Root biomass (g),20.3
512,b3-p4-c4,quercus,with robinia,control,mixed,Shoot biomass (g),11.500000000000002
512,b3-p4-c4,quercus,with robinia,control,mixed,Root:shoot biomass (-),1.7652173913043476
265,b2-p3-c2,quercus,with robinia,control,mono,Root biomass (g),18.4
265,b2-p3-c2,quercus,with robinia,control,mono,Shoot biomass (g),22.199999999999996
265,b2-p3-c2,quercus,with robinia,control,mono,Root:shoot biomass (-),0.8288288288288289
269,b2-p3-c2,quercus,with robinia,control,mono,Root biomass (g),9.100000000000001
269,b2-p3-c2,quercus,with robinia,control,mono,Shoot biomass (g),7.299999999999999
269,b2-p3-c2,quercus,with robinia,control,mono,Root:shoot biomass (-),1.2465753424657537
272,b2-p3-c2,quercus,with robinia,control,mono,Root biomass (g),13.600000000000001
272,b2-p3-c2,quercus,with robinia,control,mono,Shoot biomass (g),11.4
272,b2-p3-c2,quercus,with robinia,control,mono,Root:shoot biomass (-),1.192982456140351
513,b3-p5-c1,quercus,with robinia,control,mono,Root biomass (g),30.7
513,b3-p5-c1,quercus,with robinia,control,mono,Shoot biomass (g),39.5
513,b3-p5-c1,quercus,with robinia,control,mono,Root:shoot biomass (-),0.7772151898734178
516,b3-p5-c1,quercus,with robinia,control,mono,Root biomass (g),15.100000000000001
516,b3-p5-c1,quercus,with robinia,control,mono,Shoot biomass (g),12.6
516,b3-p5-c1,quercus,with robinia,control,mono,Root:shoot biomass (-),1.1984126984126986
517,b3-p5-c1,quercus,with robinia,control,mono,Root biomass (g),32.2
517,b3-p5-c1,quercus,with robinia,control,mono,Shoot biomass (g),27.299999999999994
517,b3-p5-c1,quercus,with robinia,control,mono,Root:shoot biomass (-),1.17948717948718
520,b3-p5-c1,quercus,with robinia,control,mono,Root biomass (g),2.1999999999999993
520,b3-p5-c1,quercus,with robinia,control,mono,Shoot biomass (g),1.4000000000000004
520,b3-p5-c1,quercus,with robinia,control,mono,Root:shoot biomass (-),1.5714285714285705
298,b2-p4-c2,quercus,with robinia,drought,mixed,Root biomass (g),9.900000000000002
298,b2-p4-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),6.299999999999999
298,b2-p4-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.571428571428572
299,b2-p4-c2,quercus,with robinia,drought,mixed,Root biomass (g),14.100000000000001
299,b2-p4-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),11.3
299,b2-p4-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.247787610619469
302,b2-p4-c2,quercus,with robinia,drought,mixed,Root biomass (g),16
302,b2-p4-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),14.700000000000001
302,b2-p4-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.0884353741496597
303,b2-p4-c2,quercus,with robinia,drought,mixed,Root biomass (g),20
303,b2-p4-c2,quercus,with robinia,drought,mixed,Shoot biomass (g),27.9
303,b2-p4-c2,quercus,with robinia,drought,mixed,Root:shoot biomass (-),0.7168458781362007
410,b3-p1-c4,quercus,with robinia,drought,mixed,Root biomass (g),14.8
410,b3-p1-c4,quercus,with robinia,drought,mixed,Shoot biomass (g),12.8
410,b3-p1-c4,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.15625
411,b3-p1-c4,quercus,with robinia,drought,mixed,Root biomass (g),7.599999999999998
411,b3-p1-c4,quercus,with robinia,drought,mixed,Shoot biomass (g),4.1
411,b3-p1-c4,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.8536585365853655
414,b3-p1-c4,quercus,with robinia,drought,mixed,Root biomass (g),16.599999999999994
414,b3-p1-c4,quercus,with robinia,drought,mixed,Shoot biomass (g),10.1
414,b3-p1-c4,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.643564356435643
415,b3-p1-c4,quercus,with robinia,drought,mixed,Root biomass (g),18.3
415,b3-p1-c4,quercus,with robinia,drought,mixed,Shoot biomass (g),15.200000000000001
415,b3-p1-c4,quercus,with robinia,drought,mixed,Root:shoot biomass (-),1.2039473684210527
289,b2-p4-c1,quercus,with robinia,drought,mono,Root biomass (g),18.2
289,b2-p4-c1,quercus,with robinia,drought,mono,Shoot biomass (g),9.500000000000002
289,b2-p4-c1,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.91578947368421
292,b2-p4-c1,quercus,with robinia,drought,mono,Root biomass (g),5.1
292,b2-p4-c1,quercus,with robinia,drought,mono,Shoot biomass (g),5.000000000000002
292,b2-p4-c1,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.0199999999999996
293,b2-p4-c1,quercus,with robinia,drought,mono,Root biomass (g),13.600000000000001
293,b2-p4-c1,quercus,with robinia,drought,mono,Shoot biomass (g),10.3
293,b2-p4-c1,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.3203883495145632
296,b2-p4-c1,quercus,with robinia,drought,mono,Root biomass (g),8.3
296,b2-p4-c1,quercus,with robinia,drought,mono,Shoot biomass (g),5.799999999999999
296,b2-p4-c1,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.431034482758621
393,b3-p1-c2,quercus,with robinia,drought,mono,Root biomass (g),18.3
393,b3-p1-c2,quercus,with robinia,drought,mono,Shoot biomass (g),14.6
393,b3-p1-c2,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.2534246575342467
396,b3-p1-c2,quercus,with robinia,drought,mono,Root biomass (g),13.100000000000001
396,b3-p1-c2,quercus,with robinia,drought,mono,Shoot biomass (g),14.000000000000002
396,b3-p1-c2,quercus,with robinia,drought,mono,Root:shoot biomass (-),0.9357142857142857
397,b3-p1-c2,quercus,with robinia,drought,mono,Root biomass (g),18.3
397,b3-p1-c2,quercus,with robinia,drought,mono,Shoot biomass (g),21.9
397,b3-p1-c2,quercus,with robinia,drought,mono,Root:shoot biomass (-),0.8356164383561645
400,b3-p1-c2,quercus,with robinia,drought,mono,Root biomass (g),25.900000000000002
400,b3-p1-c2,quercus,with robinia,drought,mono,Shoot biomass (g),17.699999999999996
400,b3-p1-c2,quercus,with robinia,drought,mono,Root:shoot biomass (-),1.4632768361581925
218,b2-p1-c4,quercus,without robinia,control,mixed,Root biomass (g),19.2
218,b2-p1-c4,quercus,without robinia,control,mixed,Shoot biomass (g),17.799999999999994
218,b2-p1-c4,quercus,without robinia,control,mixed,Root:shoot biomass (-),1.0786516853932588
219,b2-p1-c4,quercus,without robinia,control,mixed,Root biomass (g),17.8
219,b2-p1-c4,quercus,without robinia,control,mixed,Shoot biomass (g),21.699999999999996
219,b2-p1-c4,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.8202764976958528
222,b2-p1-c4,quercus,without robinia,control,mixed,Root biomass (g),43.2
222,b2-p1-c4,quercus,without robinia,control,mixed,Shoot biomass (g),46.5
222,b2-p1-c4,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.9290322580645162
223,b2-p1-c4,quercus,without robinia,control,mixed,Root biomass (g),28.2
223,b2-p1-c4,quercus,without robinia,control,mixed,Shoot biomass (g),24.4
223,b2-p1-c4,quercus,without robinia,control,mixed,Root:shoot biomass (-),1.1557377049180328
498,b3-p4-c3,quercus,without robinia,control,mixed,Root biomass (g),24.2
498,b3-p4-c3,quercus,without robinia,control,mixed,Shoot biomass (g),30.9
498,b3-p4-c3,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.7831715210355987
499,b3-p4-c3,quercus,without robinia,control,mixed,Root biomass (g),9.600000000000001
499,b3-p4-c3,quercus,without robinia,control,mixed,Shoot biomass (g),16.4
499,b3-p4-c3,quercus,without robinia,control,mixed,Root:shoot biomass (-),0.5853658536585368
