species,response,treatment,component,estimate,lower_95,upper_95,p_value,significant
fagus,Leaf-out,precipitation,SWC-adjusted (c'),0.12987961032738357,-0.18279059060360145,0.471700920361237,0.4375624375624376,FALSE
fagus,Leaf-out,precipitation,Via SWC (ab),-0.05687897019856994,-0.23243344807233868,0.08804132186108599,0.48151848151848153,FALSE
fagus,Leaf-out,robinia,SWC-adjusted (c'),0.2146919656717972,-0.0405488265600385,0.4969692049620626,0.11988011988011987,FALSE
fagus,Leaf-out,robinia,Via SWC (ab),-0.00687268190732001,-0.0766242172805156,0.04000531114241742,0.7672327672327672,FALSE
fagus,Leaf-out,culture,SWC-adjusted (c'),-0.22818512107674213,-0.5084752635728021,0.05455256141739396,0.11988011988011987,FALSE
fagus,Leaf-out,culture,Via SWC (ab),0.00162673006039182,-0.05058290450155635,0.06162620866358045,0.939060939060939,FALSE
fagus,Leaf-out,extreme_event,SWC-adjusted (c'),,,,,FALSE
fagus,Leaf-out,extreme_event,Via SWC (ab),,,,,FALSE
fagus,Volume (total),precipitation,SWC-adjusted (c'),-0.32988714582965933,-0.49381842440860296,-0.13333481132112346,0.00199800199800199,TRUE
fagus,Volume (total),precipitation,Via SWC (ab),-0.00556010802322932,-0.0270873960529643,0.01291023525557284,0.5974025974025974,FALSE
fagus,Volume (total),robinia,SWC-adjusted (c'),-0.619166314956317,-0.8493365523458035,-0.4261368076548101,0.00199800199800199,TRUE
fagus,Volume (total),robinia,Via SWC (ab),-0.0022776742656268,-0.01092258250933416,0.00588765670734345,0.5974025974025974,FALSE
fagus,Volume (total),culture,SWC-adjusted (c'),0.27046890635587784,0.05209923984363635,0.4793965804363301,0.01398601398601398,TRUE
fagus,Volume (total),culture,Via SWC (ab),2.828682895786892e-4,-0.00232219648119052,0.00359544391347749,0.8771228771228772,FALSE
fagus,Volume (total),extreme_event,SWC-adjusted (c'),0.08580276369750595,0.03609865849244625,0.14749623631550518,0.00199800199800199,TRUE
fagus,Volume (total),extreme_event,Via SWC (ab),-0.00265106082032719,-0.0147567083530179,0.00520820061074385,0.5974025974025974,FALSE
fagus,Volume (phase incr.),precipitation,SWC-adjusted (c'),-0.2762784414230416,-0.3931952838878019,-0.16020484046610683,0.00199800199800199,TRUE
