species,date,phase,treatment,contrast,estimate,lower_95,upper_95,p_value
fagus,2025-05-08,until June,culture,mixed - mono,-0.07385511579180722,-0.33260258895788253,0.1581389908595202,0.5494505494505495
fagus,2025-05-08,until June,precipitation,drought - control,-0.02982014734394955,-0.32471006162999955,0.20531014612613602,0.8571428571428571
fagus,2025-05-08,until June,robinia,with-robinia - without-robinia,0.12968321585949893,-0.09741757820076093,0.4672656876739512,0.3936063936063936
fagus,2025-06-11,until June,culture,mixed - mono,0.06135320901121129,-0.3144091054370403,0.41101840489614866,0.7252747252747253
fagus,2025-06-11,until June,precipitation,drought - control,-0.33634042783240903,-0.7624037946494432,0.016464551830137907,0.06393606393606394
fagus,2025-06-11,until June,robinia,with-robinia - without-robinia,-0.21790934171183976,-0.5604411365967186,0.23121223556302847,0.3436563436563437
fagus,2025-07-09,July-August,culture,mixed - mono,0.22767599437295036,0.04364542566171464,0.42195802510189223,0.01998001998001998
fagus,2025-07-09,July-August,precipitation,drought - control,-0.3490103074763949,-0.5547155077898243,-0.16411254139303913,0.001998001998001998
fagus,2025-07-09,July-August,robinia,with-robinia - without-robinia,-0.6943513719129774,-0.875494258052396,-0.5183744301511998,0.001998001998001998
fagus,2025-08-05,July-August,culture,mixed - mono,0.2898562450283591,0.014191033051977936,0.5741669527998218,0.04195804195804196
fagus,2025-08-05,July-August,precipitation,drought - control,-0.6255902039664538,-0.9436885161590715,-0.3498203214500808,0.001998001998001998
fagus,2025-08-05,July-August,robinia,with-robinia - without-robinia,-0.9972795874938922,-1.264411784907119,-0.731617545487989,0.001998001998001998
fagus,2025-09-01,July-August,culture,mixed - mono,0.3641047054490946,0.07914190045897904,0.6684565179227971,0.015984015984015984
fagus,2025-09-01,July-August,precipitation,drought - control,-0.6860057610759582,-1.0065047567338326,-0.39865736910847194,0.001998001998001998
fagus,2025-09-01,July-August,robinia,with-robinia - without-robinia,-1.0856589890622463,-1.3552015046623687,-0.8224754016591377,0.001998001998001998
fagus,2025-09-29,September+,culture,mixed - mono,-0.03619660019036616,-0.07407750072654685,0.004547364461040699,0.0919080919080919
fagus,2025-09-29,September+,precipitation,drought - control,0.02051330123193877,-0.023288562303774372,0.05960849952513951,0.37362637362637363
fagus,2025-09-29,September+,robinia,with-robinia - without-robinia,-0.011616661872901259,-0.057848437524439356,0.03649240773968928,0.7532467532467533
fagus,2025-11-05,September+,culture,mixed - mono,-0.031229990927531762,-0.07128198447620045,0.013169317403822867,0.1838161838161838
fagus,2025-11-05,September+,precipitation,drought - control,0.018617273626576922,-0.030368001031044846,0.06577870198406896,0.4935064935064935
fagus,2025-11-05,September+,robinia,with-robinia - without-robinia,-0.017355585504334293,-0.0674978961707138,0.03572208231831337,0.5974025974025974
fagus,2025-12-02,September+,culture,mixed - mono,-0.031229990927531672,-0.07128198447620057,0.013169317403822881,0.1838161838161838
fagus,2025-12-02,September+,precipitation,drought - control,0.018617273626576825,-0.030368001031044957,0.06577870198406881,0.4935064935064935
fagus,2025-12-02,September+,robinia,with-robinia - without-robinia,-0.017355585504334088,-0.06749789617071383,0.03572208231831316,0.5974025974025974
quercus,2025-05-08,until June,culture,mixed - mono,0.2042671983588761,0.04771756355746859,0.35460180122350404,0.00999000999000999
quercus,2025-05-08,until June,precipitation,drought - control,-0.050260184008412034,-0.20704074867084013,0.12389690588476429,0.5154845154845155
quercus,2025-05-08,until June,robinia,with-robinia - without-robinia,-0.07522647014596108,-0.24237952281418673,0.08010736650550176,0.3076923076923077
quercus,2025-06-11,until June,culture,mixed - mono,0.3515987913975442,0.10214010521266477,0.6406023472032044,0.011988011988011988
quercus,2025-06-11,until June,precipitation,drought - control,-0.05116372552997606,-0.284575777305059,0.19004344606658216,0.6293706293706294
quercus,2025-06-11,until June,robinia,with-robinia - without-robinia,-0.5080857966929843,-0.7452227080739675,-0.274400077004626,0.001998001998001998
quercus,2025-07-09,July-August,culture,mixed - mono,-0.1737570936514641,-0.288290415871336,-0.07074836965819278,0.001998001998001998
quercus,2025-07-09,July-August,precipitation,drought - control,-0.13900014502873279,-0.2464098342672047,-0.03086228174090861,0.007992007992007992
quercus,2025-07-09,July-August,robinia,with-robinia - without-robinia,-0.9504772845642014,-1.0713554789819852,-0.8395384780732229,0.001998001998001998
quercus,2025-08-05,July-August,culture,mixed - mono,-0.40619085062922194,-0.6336768342357365,-0.21238538821201453,0.001998001998001998
quercus,2025-08-05,July-August,precipitation,drought - control,-0.30642513248071906,-0.5302951325318225,-0.07676095882343179,0.005994005994005994
quercus,2025-08-05,July-August,robinia,with-robinia - without-robinia,-1.4681537324590093,-1.7005812204473512,-1.2418081675117922,0.001998001998001998
quercus,2025-09-01,July-August,culture,mixed - mono,-0.6721031992986588,-1.123882889259862,-0.30327148853106217,0.001998001998001998
quercus,2025-09-01,July-August,precipitation,drought - control,-0.5293960446896473,-0.9008174101419284,-0.13577044998790133,0.011988011988011988
quercus,2025-09-01,July-August,robinia,with-robinia - without-robinia,-2.2733411200345452,-2.664985493176769,-1.8616101261858513,0.001998001998001998
quercus,2025-09-29,September+,culture,mixed - mono,-0.14623314008849467,-0.2818597255114215,-0.007216038220470824,0.03796203796203796
quercus,2025-09-29,September+,precipitation,drought - control,-0.06078379132904925,-0.18954767834656644,0.07599802718545422,0.33966033966033965
quercus,2025-09-29,September+,robinia,with-robinia - without-robinia,0.025306580099648462,-0.10475597994312082,0.16461571693429283,0.7072927072927073
quercus,2025-11-05,September+,culture,mixed - mono,-0.17402897720669996,-0.3185440870297126,-0.03612351955533348,0.015984015984015984
quercus,2025-11-05,September+,precipitation,drought - control,-0.09246538977995629,-0.216488529837086,0.03410000244537715,0.16783216783216784
quercus,2025-11-05,September+,robinia,with-robinia - without-robinia,0.05525700079264409,-0.0932014204733312,0.21148052629659295,0.42957042957042957
quercus,2025-12-02,September+,culture,mixed - mono,-0.12605283470893,-0.26459487924414765,0.00550887717452948,0.07392607392607392
quercus,2025-12-02,September+,precipitation,drought - control,-0.07824862788235452,-0.2098663552018801,0.05701806898827302,0.23376623376623376
quercus,2025-12-02,September+,robinia,with-robinia - without-robinia,0.04902818934325924,-0.0892928374227483,0.19436716515037733,0.4755244755244755
