type,data,resp_var,date
box,soilwater,swc,2024-09-19
box,soilwater,swc,2024-10-17
box,soilwater,swc,2024-11-12
box,soilwater,swc,2024-11-13
box,soilwater,swc,2025-01-30
box,soilwater,swc,2025-03-04
box,soilwater,swc,2025-04-02
box,soilwater,swc,2025-04-11
box,soilwater,swc,2025-04-28
box,soilwater,swc,2025-05-12
box,soilwater,swc,2025-05-26
box,soilwater,swc,2025-06-06
box,soilwater,swc,2025-06-20
box,soilwater,swc,2025-07-02
box,soilwater,swc,2025-07-03
box,soilwater,swc,2025-07-17
box,soilwater,swc,2025-07-31
box,soilwater,swc,2025-08-14
box,soilwater,swc,2025-08-28
box,soilwater,swc,2025-09-10
box,soilwater,swc,2025-09-23
box,soilwater,swc,2025-10-07
box,soilwater,swc,2025-10-21
box,soilwater,swc,2025-11-07
box,soilwater,swc,2025-12-02
tree,phenology,stage,2025-04-18
tree,phenology,stage,2025-04-23
tree,phenology,stage,2025-04-25
tree,phenology,stage,2025-04-29
tree,phenology,stage,2025-05-02
tree,phenology,stage,2025-05-06
tree,phenology,stage,2025-05-09
tree,phenology,stage,2025-05-13
tree,phenology,stage,2025-05-16
tree,phenology,stage,2025-05-20
tree,phenology,stage,2025-05-23
tree,phenology,stage,2025-05-27
tree,phenology,stage,2025-05-30
tree,phenology,stage,2025-04-15
tree,phenology,stage,2025-04-04
tree,phenology,stage,2025-04-08
tree,phenology,stage,2025-04-11
tree,phenology,stage,2025-04-13
tree,phenology,stage,2025-04-01
tree,growth,height,2025-03-07
tree,growth,height,2025-05-08
tree,growth,height,2025-06-11
tree,growth,height,2025-07-09
tree,growth,height,2025-08-05
tree,growth,height,2025-09-01
tree,growth,height,2025-09-29
tree,growth,height,2025-11-05
tree,growth,height,2025-12-02
tree,growth,diameter,2025-03-07
tree,growth,diameter,2025-05-08
tree,growth,diameter,2025-06-11
tree,growth,diameter,2025-07-09
tree,growth,diameter,2025-08-05
tree,growth,diameter,2025-09-01
tree,growth,diameter,2025-09-29
tree,growth,diameter,2025-11-05
tree,growth,diameter,2025-12-02
tree,chlorophyll,chl,2025-06-06
tree,chlorophyll,chl,2025-06-19
tree,chlorophyll,chl,2025-07-03
tree,chlorophyll,chl,2025-07-17
tree,chlorophyll,chl,2025-07-31
tree,chlorophyll,chl,2025-08-15
tree,chlorophyll,chl,2025-08-28
tree,chlorophyll,chl,2025-09-10
tree,chlorophyll,chl,2025-09-23
tree,chlorophyll,chl,2025-10-06
tree,chlorophyll,chl,2025-10-20
tree,chlorophyll,chl,2025-11-07
tree,quantum_yield,qy,2025-06-18
tree,quantum_yield,qy,2025-07-03
tree,quantum_yield,qy,2025-07-17
tree,quantum_yield,qy,2025-07-31
tree,quantum_yield,qy,2025-08-14
tree,quantum_yield,qy,2025-08-29
tree,quantum_yield,qy,2025-09-10
tree,quantum_yield,qy,2025-09-25
tree,quantum_yield,qy,2025-10-07
tree,quantum_yield,qy,2025-10-20
tree,quantum_yield,qy,2025-11-12
tree,condition,condition,2025-06-13
tree,condition,condition,2025-06-26
tree,condition,condition,2025-07-10
tree,condition,condition,2025-07-24
tree,condition,condition,2025-08-06
tree,condition,condition,2025-08-22
tree,condition,condition,2025-09-05
tree,condition,condition,2025-09-19
tree,condition,condition,2025-10-03
tree,condition,condition,2025-10-16
tree,condition,condition,2025-11-04
tree,senescence,remaining_green,2025-09-03
tree,senescence,remaining_green,2025-09-10
tree,senescence,remaining_green,2025-09-17
tree,senescence,remaining_green,2025-09-25
tree,senescence,remaining_green,2025-10-01
tree,senescence,remaining_green,2025-10-08
tree,senescence,remaining_green,2025-10-15
tree,senescence,remaining_green,2025-10-21
tree,senescence,remaining_green,2025-10-27
tree,senescence,remaining_green,2025-11-04
tree,senescence,remaining_green,2025-11-12
tree,senescence,remaining_green,2025-11-19
tree,senescence,remaining_green,2025-11-25
tree,senescence,chlavg,2025-09-03
tree,senescence,chlavg,2025-09-10
tree,senescence,chlavg,2025-09-17
tree,senescence,chlavg,2025-09-25
tree,senescence,chlavg,2025-10-01
tree,senescence,chlavg,2025-10-08
tree,senescence,chlavg,2025-10-15
tree,senescence,chlavg,2025-10-21
tree,senescence,chlavg,2025-10-27
tree,senescence,chlavg,2025-11-04
tree,senescence,chlavg,2025-11-12
tree,senescence,chlavg,2025-11-19
