species,robinia,precipitation,culture,date,mean,lower_95,upper_95,n_containers,n_trees
Fagus,without robinia,control,mono,2025-06-06,12.466666666666667,11.708333333333332,13.141666666666666,6,24
Fagus,without robinia,control,mono,2025-06-19,12.691666666666666,11.1625,14.220833333333333,6,24
Fagus,without robinia,control,mono,2025-07-03,13.558333333333334,11.575,15.541666666666668,6,24
Fagus,without robinia,control,mono,2025-07-17,13.483333333333334,11.391666666666667,15.575000000000001,6,24
Fagus,without robinia,control,mono,2025-07-31,13.004166666666666,11.129166666666666,14.879166666666666,6,24
Fagus,without robinia,control,mono,2025-08-15,13.445833333333333,12.041666666666666,14.85,6,24
Fagus,without robinia,control,mono,2025-08-28,13.154166666666667,11.508333333333333,14.8,6,24
Fagus,without robinia,control,mono,2025-09-10,12.175,10.308333333333334,14.041666666666666,6,24
Fagus,without robinia,control,mono,2025-09-23,11.620833333333334,9.895833333333334,13.345833333333333,6,24
Fagus,without robinia,control,mono,2025-10-06,11.325,9.883333333333333,12.766666666666666,6,24
Fagus,without robinia,control,mono,2025-10-20,7.5125,6.308333333333334,8.716666666666667,6,24
Fagus,without robinia,control,mono,2025-11-07,1.2208333333333334,0.2208333333333333,2.220833333333333,6,24
Fagus,without robinia,control,mixed,2025-06-06,10.8,9.608333333333334,11.991666666666667,6,12
Fagus,without robinia,control,mixed,2025-06-19,11.608333333333333,10.583333333333334,12.633333333333333,6,12
Fagus,without robinia,control,mixed,2025-07-03,13.716666666666667,12.833333333333334,14.6,6,12
Fagus,without robinia,control,mixed,2025-07-17,12.691666666666666,11.758333333333333,13.625,6,12
Fagus,without robinia,control,mixed,2025-07-31,12.725,11.533333333333333,13.916666666666666,6,12
Fagus,without robinia,control,mixed,2025-08-15,13.041666666666668,12.008333333333333,14.075000000000001,6,12
Fagus,without robinia,control,mixed,2025-08-28,12.766666666666666,11.116666666666667,14.416666666666666,6,12
Fagus,without robinia,control,mixed,2025-09-10,12.033333333333333,11.016666666666667,13.05,6,12
Fagus,without robinia,control,mixed,2025-09-23,11.008333333333333,9.791666666666668,12.225,6,12
Fagus,without robinia,control,mixed,2025-10-06,10.658333333333333,9.241666666666667,12.075,6,12
Fagus,without robinia,control,mixed,2025-10-20,6.916666666666667,6.325,7.508333333333333,6,12
Fagus,without robinia,control,mixed,2025-11-07,1.2583333333333333,0.3333333333333333,2.1833333333333336,6,12
Fagus,without robinia,drought,mono,2025-06-06,10.65,9.795833333333333,11.504166666666666,6,24
Fagus,without robinia,drought,mono,2025-06-19,10.450000000000001,9.55,11.350000000000001,6,24
Fagus,without robinia,drought,mono,2025-07-03,10.266666666666667,9.820833333333333,10.7125,6,24
Fagus,without robinia,drought,mono,2025-07-17,9.5125,8.770833333333334,10.254166666666666,6,24
Fagus,without robinia,drought,mono,2025-07-31,9.2625,8.75,9.775,6,24
Fagus,without robinia,drought,mono,2025-08-15,10.004166666666666,9.470833333333333,10.5375,6,24
Fagus,without robinia,drought,mono,2025-08-28,9.441666666666666,8.879166666666666,10.004166666666666,6,24
Fagus,without robinia,drought,mono,2025-09-10,8.658333333333333,8.0875,9.229166666666666,6,24
Fagus,without robinia,drought,mono,2025-09-23,7.854166666666667,7.354166666666667,8.354166666666666,6,24
Fagus,without robinia,drought,mono,2025-10-06,7.1625,6.495833333333334,7.8291666666666675,6,24
Fagus,without robinia,drought,mono,2025-10-20,4.7124999999999995,4.241666666666666,5.183333333333334,6,24
Fagus,without robinia,drought,mono,2025-11-07,0.6000000000000001,0.1625,1.0375,6,24
Fagus,without robinia,drought,mixed,2025-06-06,11.8,11.058333333333334,12.541666666666668,6,12
Fagus,without robinia,drought,mixed,2025-06-19,12.841666666666667,12.391666666666666,13.291666666666666,6,12
Fagus,without robinia,drought,mixed,2025-07-03,13.583333333333332,12.941666666666666,14.225,6,12
Fagus,without robinia,drought,mixed,2025-07-17,13.25,12.691666666666666,13.808333333333334,6,12
Fagus,without robinia,drought,mixed,2025-07-31,13.633333333333333,13.291666666666666,13.975000000000001,6,12
Fagus,without robinia,drought,mixed,2025-08-15,13.933333333333334,13.608333333333334,14.258333333333333,6,12
Fagus,without robinia,drought,mixed,2025-08-28,12.258333333333333,11.175,13.341666666666667,6,12
Fagus,without robinia,drought,mixed,2025-09-10,12.008333333333333,11.2,12.816666666666666,6,12
Fagus,without robinia,drought,mixed,2025-09-23,11.758333333333333,11.116666666666667,12.4,6,12
Fagus,without robinia,drought,mixed,2025-10-06,11.616666666666667,11.025,12.208333333333334,6,12
Fagus,without robinia,drought,mixed,2025-10-20,7.633333333333334,7.125,8.141666666666667,6,12
Fagus,without robinia,drought,mixed,2025-11-07,0.5083333333333333,0,1.0166666666666666,6,12
Fagus,with robinia,control,mono,2025-06-06,13.23,10.51,13.39,5,20
Fagus,with robinia,control,mono,2025-06-19,12.27,10.215,12.310125000000001,5,20
Fagus,with robinia,control,mono,2025-07-03,12.459999999999999,10.24,12.48,5,20
Fagus,with robinia,control,mono,2025-07-17,12.005,9.818750000000001,12.2,5,20
Fagus,with robinia,control,mono,2025-07-31,11.19,9.16,11.39,5,20
Fagus,with robinia,control,mono,2025-08-15,10.985,8.95,11.14,5,20
Fagus,with robinia,control,mono,2025-08-28,8.355,6.29,8.65,5,20
Fagus,with robinia,control,mono,2025-09-10,2.8449999999999998,0.95,3.77,5,20
