species,robinia,precipitation,culture,stage,mean_doy,se,n
Fagus,without robinia,control,mono,1,107.58695652173913,0.8662072845811064,46
Fagus,without robinia,control,mono,2,113.75675675675676,0.9140260125728197,37
Fagus,without robinia,control,mono,3,116.95454545454545,0.8231292746622936,44
Fagus,without robinia,control,mono,4,120.97826086956522,0.7635975939225019,46
Fagus,without robinia,control,mixed,1,105.54166666666667,0.6565698265973449,24
Fagus,without robinia,control,mixed,2,113.17647058823529,1.0008646780690327,17
Fagus,without robinia,control,mixed,3,116.375,0.9243338768767643,24
Fagus,without robinia,control,mixed,4,120.79166666666667,0.7396120376140284,24
Fagus,without robinia,drought,mono,1,105.95833333333333,0.5999101094996693,48
Fagus,without robinia,drought,mono,2,112.525,0.7116138213731031,40
Fagus,without robinia,drought,mono,3,116.19565217391305,0.6237021812035446,46
Fagus,without robinia,drought,mono,4,120.22916666666667,0.6110968392380328,48
Fagus,without robinia,drought,mixed,1,106.625,0.8182973220329985,24
Fagus,without robinia,drought,mixed,2,114.0952380952381,1.032575978767392,21
Fagus,without robinia,drought,mixed,3,117.91304347826087,0.9259394193004583,23
Fagus,without robinia,drought,mixed,4,121.875,0.9350511494960654,24
Fagus,with robinia,control,mono,1,105.8,0.5819948012808608,40
Fagus,with robinia,control,mono,2,111.48571428571428,0.7245646952474567,35
Fagus,with robinia,control,mono,3,115.35,0.7076052064570526,40
Fagus,with robinia,control,mono,4,120.275,0.6139275619175696,40
Fagus,with robinia,control,mixed,1,106.125,0.7992580345527354,24
Fagus,with robinia,control,mixed,2,113,1.032162524568773,18
Fagus,with robinia,control,mixed,3,116.52173913043478,0.8096980484804251,23
Fagus,with robinia,control,mixed,4,121.125,0.6574889099191459,24
Fagus,with robinia,drought,mono,1,105.27083333333333,0.6735501788141807,48
Fagus,with robinia,drought,mono,2,110.70731707317073,0.7098985692225164,41
Fagus,with robinia,drought,mono,3,115,0.6501974367474902,47
Fagus,with robinia,drought,mono,4,119,0.6273890509696481,48
Fagus,with robinia,drought,mixed,1,106.58333333333333,0.7394589352413107,24
Fagus,with robinia,drought,mixed,2,113,1.016530045465127,21
Fagus,with robinia,drought,mixed,3,116.78260869565217,0.774995911602452,23
Fagus,with robinia,drought,mixed,4,120.95833333333333,0.7031996404290299,24
Quercus,without robinia,control,mono,1,102.39583333333333,0.8168979897454262,48
Quercus,without robinia,control,mono,2,111.0625,0.9198395683815107,48
Quercus,without robinia,control,mono,3,117.32608695652173,0.9418115691134963,46
Quercus,without robinia,control,mono,4,123.25,0.5204164998665332,48
Quercus,without robinia,control,mixed,1,99.82608695652173,1.1705411976126565,23
Quercus,without robinia,control,mixed,2,108.26086956521739,1.2545843071757476,23
Quercus,without robinia,control,mixed,3,116,1.3187609467915742,23
Quercus,without robinia,control,mixed,4,122.1304347826087,0.9160500094787164,23
Quercus,without robinia,drought,mono,1,105.76595744680851,1.4126469751397077,47
Quercus,without robinia,drought,mono,2,113.93333333333334,1.4359736077032201,45
Quercus,without robinia,drought,mono,3,120.02173913043478,1.2620392708600738,46
Quercus,without robinia,drought,mono,4,126.08510638297872,1.05440786054862,47
Quercus,without robinia,drought,mixed,1,103.375,1.5165900203598444,24
Quercus,without robinia,drought,mixed,2,110.78260869565217,1.4197318147616353,23
Quercus,without robinia,drought,mixed,3,118,1.5007934409441401,21
Quercus,without robinia,drought,mixed,4,123.875,1.011371038151476,24
Quercus,with robinia,control,mono,1,106.76363636363637,1.2265205326776591,55
Quercus,with robinia,control,mono,2,115.98148148148148,1.119202427888589,54
Quercus,with robinia,control,mono,3,122.61111111111111,0.9973468180719713,54
Quercus,with robinia,control,mono,4,127.05454545454545,0.9005864837384461,55
Quercus,with robinia,control,mixed,1,101.54166666666667,1.4632938408721265,24
Quercus,with robinia,control,mixed,2,110.83333333333333,1.284899289273241,24
Quercus,with robinia,control,mixed,3,118.21739130434783,1.061277702868226,23
Quercus,with robinia,control,mixed,4,123.33333333333333,0.9299109094514961,24
Quercus,with robinia,drought,mono,1,103.16666666666667,1.3550971980177842,48
Quercus,with robinia,drought,mono,2,112.43478260869566,1.2346261042547615,46
Quercus,with robinia,drought,mono,3,118.42553191489361,1.2469183775192536,47
Quercus,with robinia,drought,mono,4,124.16666666666667,1.0494566870821616,48
Quercus,with robinia,drought,mixed,1,106,1.8785594234003826,24
Quercus,with robinia,drought,mixed,2,113.6086956521739,1.7667763127424805,23
Quercus,with robinia,drought,mixed,3,121.47368421052632,1.9031651399748235,19
Quercus,with robinia,drought,mixed,4,125.33333333333333,1.5830472663009765,24
Robinia,with robinia,control,mono,1,91.32307692307693,0.11624677892082637,65
Robinia,with robinia,control,mono,2,98.04615384615384,0.20619115621046485,65
Robinia,with robinia,control,mono,3,103.31746031746032,0.3254249235430168,63
Robinia,with robinia,control,mono,4,108.18461538461538,0.31992510218161563,65
Robinia,with robinia,control,mixed,1,91.09375,0.09374999999999999,32
Robinia,with robinia,control,mixed,2,98.15625,0.31465987461630435,32
Robinia,with robinia,control,mixed,3,103.29032258064517,0.5062906394405831,31
Robinia,with robinia,control,mixed,4,108.3125,0.7273980085917376,32
Robinia,with robinia,drought,mono,1,91.42028985507247,0.16697218004625403,69
Robinia,with robinia,drought,mono,2,97.80882352941177,0.2354244042274971,68
Robinia,with robinia,drought,mono,3,103.47058823529412,0.3342273126236706,68
Robinia,with robinia,drought,mono,4,108.31884057971014,0.3445426151437917,69
Robinia,with robinia,drought,mixed,1,91.26470588235294,0.1481244811172678,34
Robinia,with robinia,drought,mixed,2,97.94117647058823,0.21085166606233505,34
Robinia,with robinia,drought,mixed,3,103.06060606060606,0.4057806588133963,33
Robinia,with robinia,drought,mixed,4,107.55882352941177,0.49271190410490534,34
