boxlabel,date,co2
b1-p1-c1,2025-03-19,491.93
b1-p1-c1,2025-04-14,508.56
b1-p1-c1,2025-05-13,540.28
b1-p1-c1,2025-06-10,499.91
b1-p1-c1,2025-07-10,470.7
b1-p1-c1,2025-08-05,510.08
b1-p1-c1,2025-09-03,476.68
b1-p1-c1,2025-10-03,476.35
b1-p1-c2,2025-03-19,487.85
b1-p1-c2,2025-04-14,516.57
b1-p1-c2,2025-05-13,544.3
b1-p1-c2,2025-06-10,518.23
b1-p1-c2,2025-07-10,465.19
b1-p1-c2,2025-08-05,548.7
b1-p1-c2,2025-09-03,475.91
b1-p1-c2,2025-10-03,466.67
b1-p1-c3,2025-03-19,497.57
b1-p1-c3,2025-04-14,519.53
b1-p1-c3,2025-05-13,531.69
b1-p1-c3,2025-06-10,515.66
b1-p1-c3,2025-07-10,460.04
b1-p1-c3,2025-08-05,539.25
b1-p1-c3,2025-09-03,484.07
b1-p1-c3,2025-10-03,470.48
b1-p1-c4,2025-03-19,498.26
b1-p1-c4,2025-04-14,529.51
b1-p1-c4,2025-05-13,539.14
b1-p1-c4,2025-06-10,517.17
b1-p1-c4,2025-07-10,475.32
b1-p1-c4,2025-08-05,548.18
b1-p1-c4,2025-09-03,482.06
b1-p1-c4,2025-10-03,474.14
b1-p2-c3,2025-03-19,496.14
b1-p2-c3,2025-04-14,499.19
b1-p2-c3,2025-05-13,539.9
b1-p2-c3,2025-06-10,491.39
b1-p2-c3,2025-07-10,475.92
b1-p2-c3,2025-08-05,561.46
b1-p2-c3,2025-09-03,489.05
b1-p2-c3,2025-10-03,483.62
b1-p2-c4,2025-03-19,503.77
b1-p2-c4,2025-04-14,512.4
b1-p2-c4,2025-05-13,581.21
b1-p2-c4,2025-06-10,544.72
b1-p2-c4,2025-07-10,507.15
b1-p2-c4,2025-08-05,572.79
b1-p2-c4,2025-09-03,507.91
b1-p2-c4,2025-10-03,506.79
b1-p4-c1,2025-03-19,494.79
b1-p4-c1,2025-04-14,510.97
b1-p4-c1,2025-05-13,604.5
b1-p4-c1,2025-06-10,558.12
b1-p4-c1,2025-07-10,499.19
b1-p4-c1,2025-08-05,524.37
b1-p4-c1,2025-09-03,494.55
b1-p4-c1,2025-10-03,476.48
b1-p4-c2,2025-03-19,496.68
b1-p4-c2,2025-04-14,515.14
b1-p4-c2,2025-05-13,575.25
b1-p4-c2,2025-06-10,541.91
b1-p4-c2,2025-07-10,489.66
b1-p4-c2,2025-08-05,605.74
b1-p4-c2,2025-09-03,511.58
b1-p4-c2,2025-10-03,491.71
b1-p4-c3,2025-03-19,497.17
b1-p4-c3,2025-04-14,523.7
b1-p4-c3,2025-05-13,563.89
b1-p4-c3,2025-06-10,550.56
b1-p4-c3,2025-07-10,487.04
b1-p4-c3,2025-08-05,592.63
b1-p4-c3,2025-09-03,513.1
b1-p4-c3,2025-10-03,492.66
b1-p4-c4,2025-03-19,501.89
b1-p4-c4,2025-04-14,548.1
b1-p4-c4,2025-05-13,573.72
b1-p4-c4,2025-06-10,535.34
b1-p4-c4,2025-07-10,502.78
b1-p4-c4,2025-08-05,625.81
b1-p4-c4,2025-09-03,543.54
b1-p4-c4,2025-10-03,503
b1-p5-c3,2025-03-19,503.74
b1-p5-c3,2025-04-14,521.39
b1-p5-c3,2025-05-13,605.43
b1-p5-c3,2025-06-10,570.27
b1-p5-c3,2025-07-10,487.86
b1-p5-c3,2025-08-05,536.77
b1-p5-c3,2025-09-03,529.14
b1-p5-c3,2025-10-03,496.3
b1-p5-c4,2025-03-19,500.65
b1-p5-c4,2025-04-14,515.12
b1-p5-c4,2025-05-13,573.55
b1-p5-c4,2025-06-10,565.02
b1-p5-c4,2025-07-10,509.43
