boxlabel,date,swc
b1-p1-c1,2024-09-19,20.5
b1-p1-c1,2024-10-17,22.1
b1-p1-c1,2024-11-12,24.1
b1-p1-c1,2024-11-13,21
b1-p1-c1,2025-01-30,24.7
b1-p1-c1,2025-03-04,21.8
b1-p1-c1,2025-04-02,11.9
b1-p1-c1,2025-04-11,9.4
b1-p1-c1,2025-04-28,14.9
b1-p1-c1,2025-05-12,11.5
b1-p1-c1,2025-05-26,16.5
b1-p1-c1,2025-06-06,10.3
b1-p1-c1,2025-06-20,4.5
b1-p1-c1,2025-07-02,2.3
b1-p1-c1,2025-07-03,3.8
b1-p1-c1,2025-07-17,6.5
b1-p1-c1,2025-07-31,17.1
b1-p1-c1,2025-08-14,2.5
b1-p1-c1,2025-08-28,7.4
b1-p1-c1,2025-09-10,14.5
b1-p1-c1,2025-09-23,15
b1-p1-c1,2025-10-07,13.5
b1-p1-c1,2025-10-21,6.8
b1-p1-c2,2024-09-19,19.7
b1-p1-c2,2024-10-17,22.4
b1-p1-c2,2024-11-12,22.8
b1-p1-c2,2024-11-13,20
b1-p1-c2,2025-01-30,23.9
b1-p1-c2,2025-03-04,19.2
b1-p1-c2,2025-04-02,10
b1-p1-c2,2025-04-11,8.3
b1-p1-c2,2025-04-28,14.4
b1-p1-c2,2025-05-12,11.6
b1-p1-c2,2025-05-26,18.7
b1-p1-c2,2025-06-06,14.1
b1-p1-c2,2025-06-20,4.2
b1-p1-c2,2025-07-02,1.5
b1-p1-c2,2025-07-03,3.8
b1-p1-c2,2025-07-17,6.1
b1-p1-c2,2025-07-31,16.2
b1-p1-c2,2025-08-14,3.1
b1-p1-c2,2025-08-28,6.2
b1-p1-c2,2025-09-10,15.2
b1-p1-c2,2025-09-23,14.1
b1-p1-c2,2025-10-07,13.8
b1-p1-c2,2025-10-21,8.9
b1-p1-c3,2024-09-19,20
b1-p1-c3,2024-10-17,22.8
b1-p1-c3,2024-11-12,23.2
b1-p1-c3,2024-11-13,22.2
b1-p1-c3,2025-01-30,25.1
b1-p1-c3,2025-03-04,16.6
b1-p1-c3,2025-04-02,10.1
b1-p1-c3,2025-04-11,8.9
b1-p1-c3,2025-04-28,14.7
b1-p1-c3,2025-05-12,10.9
b1-p1-c3,2025-05-26,16.9
b1-p1-c3,2025-06-06,11.9
b1-p1-c3,2025-06-20,2.9
b1-p1-c3,2025-07-02,1.2
b1-p1-c3,2025-07-03,2.8
b1-p1-c3,2025-07-17,5.7
b1-p1-c3,2025-07-31,13.7
b1-p1-c3,2025-08-14,1.5
b1-p1-c3,2025-08-28,8.1
b1-p1-c3,2025-09-10,13.3
b1-p1-c3,2025-09-23,13
b1-p1-c3,2025-10-07,12.3
b1-p1-c3,2025-10-21,3.1
b1-p1-c4,2024-09-19,21.6
b1-p1-c4,2024-10-17,20.7
b1-p1-c4,2024-11-12,21.4
b1-p1-c4,2024-11-13,19.5
b1-p1-c4,2025-01-30,25
b1-p1-c4,2025-03-04,22.8
b1-p1-c4,2025-04-02,13
b1-p1-c4,2025-04-11,8.2
b1-p1-c4,2025-04-28,14.4
b1-p1-c4,2025-05-12,10.3
b1-p1-c4,2025-05-26,17.5
b1-p1-c4,2025-06-06,11
b1-p1-c4,2025-06-20,1.9
b1-p1-c4,2025-07-02,0.6
b1-p1-c4,2025-07-03,2.7
b1-p1-c4,2025-07-17,6.1
b1-p1-c4,2025-07-31,14.1
b1-p1-c4,2025-08-14,1.6
b1-p1-c4,2025-08-28,7.5
b1-p1-c4,2025-09-10,13.8
b1-p1-c4,2025-09-23,13.2
b1-p1-c4,2025-10-07,11
b1-p1-c4,2025-10-21,3.4
b1-p2-c1,2024-09-19,13.8
b1-p2-c1,2024-10-17,14.1
b1-p2-c1,2024-11-12,18.8
b1-p2-c1,2024-11-13,12.6
b1-p2-c1,2025-01-30,16.6
b1-p2-c1,2025-03-04,13.2
b1-p2-c1,2025-04-02,8.3
b1-p2-c1,2025-04-11,7.3
b1-p2-c1,2025-04-28,10.6
b1-p2-c1,2025-05-12,4.8
b1-p2-c1,2025-05-26,4.7
b1-p2-c1,2025-06-06,1.5
b1-p2-c1,2025-06-20,1.2
b1-p2-c1,2025-07-02,0
b1-p2-c1,2025-07-03,1.4
b1-p2-c1,2025-07-17,4
b1-p2-c1,2025-07-31,11.5
b1-p2-c1,2025-08-14,0.8
b1-p2-c1,2025-08-28,5.3
b1-p2-c1,2025-09-10,8.2
b1-p2-c1,2025-09-23,11.2
b1-p2-c1,2025-10-07,6.5
b1-p2-c1,2025-10-21,1.1
b1-p2-c2,2024-09-19,14.6
b1-p2-c2,2024-10-17,17.1
b1-p2-c2,2024-11-12,19.6
b1-p2-c2,2024-11-13,16.9
b1-p2-c2,2025-01-30,19.4
b1-p2-c2,2025-03-04,15.6
b1-p2-c2,2025-04-02,9.4
b1-p2-c2,2025-04-11,6.7
b1-p2-c2,2025-04-28,12.7
b1-p2-c2,2025-05-12,11.2
b1-p2-c2,2025-05-26,18.5
b1-p2-c2,2025-06-06,15.6
b1-p2-c2,2025-06-20,6.5
b1-p2-c2,2025-07-02,2.1
b1-p2-c2,2025-07-03,4.1
b1-p2-c2,2025-07-17,5.5
b1-p2-c2,2025-07-31,17
b1-p2-c2,2025-08-14,1.9
b1-p2-c2,2025-08-28,7.2
b1-p2-c2,2025-09-10,11.6
b1-p2-c2,2025-09-23,13.2
b1-p2-c2,2025-10-07,11.9
b1-p2-c2,2025-10-21,3.4
b1-p2-c3,2024-09-19,18.2
b1-p2-c3,2024-10-17,20.1
b1-p2-c3,2024-11-12,22.6
b1-p2-c3,2024-11-13,18.8
b1-p2-c3,2025-01-30,25.6
b1-p2-c3,2025-03-04,21.8
b1-p2-c3,2025-04-02,12.5
b1-p2-c3,2025-04-11,9.7
b1-p2-c3,2025-04-28,16.5
b1-p2-c3,2025-05-12,10.2
b1-p2-c3,2025-05-26,13.8
b1-p2-c3,2025-06-06,4.9
b1-p2-c3,2025-06-20,1.1
b1-p2-c3,2025-07-02,1.7
b1-p2-c3,2025-07-03,4
b1-p2-c3,2025-07-17,5.1
b1-p2-c3,2025-07-31,15.3
b1-p2-c3,2025-08-14,1.4
b1-p2-c3,2025-08-28,7.6
b1-p2-c3,2025-09-10,12.6
b1-p2-c3,2025-09-23,10.1
b1-p2-c3,2025-10-07,7.1
b1-p2-c3,2025-10-21,2.2
b1-p2-c4,2024-09-19,24.6
b1-p2-c4,2024-10-17,25.7
b1-p2-c4,2024-11-12,25.9
b1-p2-c4,2024-11-13,22.6
b1-p2-c4,2025-01-30,25.6
b1-p2-c4,2025-03-04,24.3
b1-p2-c4,2025-04-02,15.2
b1-p2-c4,2025-04-11,12.7
b1-p2-c4,2025-04-28,18.9
b1-p2-c4,2025-05-12,17.1
b1-p2-c4,2025-05-26,23.1
b1-p2-c4,2025-06-06,21.7
b1-p2-c4,2025-06-20,11.2
b1-p2-c4,2025-07-02,7.8
b1-p2-c4,2025-07-03,8.8
b1-p2-c4,2025-07-17,11.1
b1-p2-c4,2025-07-31,21.2
b1-p2-c4,2025-08-14,5.7
b1-p2-c4,2025-08-28,12.5
b1-p2-c4,2025-09-10,18.9
b1-p2-c4,2025-09-23,20.3
b1-p2-c4,2025-10-07,18.5
b1-p2-c4,2025-10-21,11.4
b1-p3-c1,2024-09-19,20.4
b1-p3-c1,2024-10-17,19.1
b1-p3-c1,2024-11-12,22.4
b1-p3-c1,2024-11-13,18.8
b1-p3-c1,2025-01-30,20
b1-p3-c1,2025-03-04,20.4
b1-p3-c1,2025-04-02,10.5
b1-p3-c1,2025-04-11,9
