boxlabel,precipitation,robinia,soiltype,species,precipitation_soiltype_robinia,precipitation_robinia,precipitation_soiltype,soiltype_robinia,soiltype_numeric
b1_p1_c1,drought,no,yellow,fagus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b1_p1_c2,drought,no,yellow,quercus_fagus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b1_p1_c3,drought,yes,yellow,quercus_fagus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b1_p1_c4,drought,yes,yellow,quercus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b1_p2_c1,drought,yes,blue,quercus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b1_p2_c2,drought,no,blue,quercus_fagus,drought_blue_no,drought_no,drought_blue,blue_no,2
b1_p2_c3,drought,yes,yellow,quercus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b1_p2_c4,drought,no,yellow,quercus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b1_p3_c1,drought,no,blue,fagus,drought_blue_no,drought_no,drought_blue,blue_no,2
b1_p3_c2,drought,no,blue,quercus,drought_blue_no,drought_no,drought_blue,blue_no,2
b1_p3_c3,drought,yes,blue,quercus_fagus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b1_p3_c4,drought,yes,blue,quercus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b1_p4_c1,control,no,yellow,quercus_fagus,control_yellow_no,control_no,control_yellow,yellow_no,1
b1_p4_c2,control,yes,yellow,fagus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b1_p4_c3,control,yes,yellow,quercus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b1_p4_c4,control,yes,yellow,quercus_fagus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b1_p5_c1,control,yes,blue,quercus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b1_p5_c2,control,yes,blue,quercus_fagus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b1_p5_c3,control,no,yellow,fagus,control_yellow_no,control_no,control_yellow,yellow_no,1
b1_p5_c4,control,no,yellow,quercus,control_yellow_no,control_no,control_yellow,yellow_no,1
b1_p6_c1,control,no,blue,fagus,control_blue_no,control_no,control_blue,blue_no,2
b1_p6_c2,control,no,blue,quercus,control_blue_no,control_no,control_blue,blue_no,2
b1_p6_c3,control,no,blue,quercus_fagus,control_blue_no,control_no,control_blue,blue_no,2
b1_p6_c4,control,yes,blue,quercus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b2_p1_c1,control,yes,blue,fagus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b2_p1_c2,control,no,blue,fagus,control_blue_no,control_no,control_blue,blue_no,2
b2_p1_c3,control,yes,blue,quercus_fagus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b2_p1_c4,control,no,blue,quercus_fagus,control_blue_no,control_no,control_blue,blue_no,2
b2_p2_c1,control,yes,yellow,fagus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b2_p2_c2,control,yes,yellow,quercus_fagus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b2_p2_c3,control,no,yellow,quercus_fagus,control_yellow_no,control_no,control_yellow,yellow_no,1
b2_p2_c4,control,yes,yellow,quercus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b2_p3_c1,control,no,blue,quercus,control_blue_no,control_no,control_blue,blue_no,2
b2_p3_c2,control,yes,blue,quercus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b2_p3_c3,control,no,yellow,fagus,control_yellow_no,control_no,control_yellow,yellow_no,1
b2_p3_c4,control,no,yellow,quercus,control_yellow_no,control_no,control_yellow,yellow_no,1
b2_p4_c1,drought,yes,blue,quercus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b2_p4_c2,drought,yes,blue,quercus_fagus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b2_p4_c3,drought,no,yellow,fagus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b2_p4_c4,drought,yes,yellow,quercus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b2_p5_c1,drought,no,blue,fagus,drought_blue_no,drought_no,drought_blue,blue_no,2
b2_p5_c2,drought,no,blue,quercus,drought_blue_no,drought_no,drought_blue,blue_no,2
b2_p5_c3,drought,no,blue,quercus_fagus,drought_blue_no,drought_no,drought_blue,blue_no,2
b2_p5_c4,drought,yes,blue,fagus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b2_p6_c1,drought,yes,yellow,fagus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b2_p6_c2,drought,no,yellow,quercus_fagus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b2_p6_c3,drought,yes,yellow,quercus_fagus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b2_p6_c4,drought,no,yellow,quercus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b3_p1_c1,drought,yes,blue,fagus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b3_p1_c2,drought,yes,blue,quercus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b3_p1_c3,drought,no,blue,quercus_fagus,drought_blue_no,drought_no,drought_blue,blue_no,2
b3_p1_c4,drought,yes,blue,quercus_fagus_robinia,drought_blue_yes,drought_yes,drought_blue,blue_yes,2
b3_p2_c1,drought,no,yellow,fagus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b3_p2_c2,drought,yes,yellow,quercus_fagus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b3_p2_c3,drought,no,yellow,quercus_fagus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b3_p2_c4,drought,yes,yellow,quercus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b3_p3_c1,drought,no,blue,quercus,drought_blue_no,drought_no,drought_blue,blue_no,2
b3_p3_c2,drought,no,blue,fagus,drought_blue_no,drought_no,drought_blue,blue_no,2
b3_p3_c3,drought,no,yellow,quercus,drought_yellow_no,drought_no,drought_yellow,yellow_no,1
b3_p3_c4,drought,yes,yellow,fagus_robinia,drought_yellow_yes,drought_yes,drought_yellow,yellow_yes,1
b3_p4_c1,control,no,blue,fagus,control_blue_no,control_no,control_blue,blue_no,2
b3_p4_c2,control,no,blue,quercus,control_blue_no,control_no,control_blue,blue_no,2
b3_p4_c3,control,no,blue,quercus_fagus,control_blue_no,control_no,control_blue,blue_no,2
b3_p4_c4,control,yes,blue,quercus_fagus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b3_p5_c1,control,yes,blue,quercus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b3_p5_c2,control,yes,blue,fagus_robinia,control_blue_yes,control_yes,control_blue,blue_yes,2
b3_p5_c3,control,yes,yellow,fagus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
b3_p5_c4,control,yes,yellow,quercus_robinia,control_yellow_yes,control_yes,control_yellow,yellow_yes,1
