tree_id,treelabel,species,boxlabel
1,b1-p1-c1-a1,fagus,b1-p1-c1
2,b1-p1-c1-b1,fagus,b1-p1-c1
3,b1-p1-c1-a2,fagus,b1-p1-c1
4,b1-p1-c1-b2,fagus,b1-p1-c1
5,b1-p1-c1-a3,fagus,b1-p1-c1
6,b1-p1-c1-b3,fagus,b1-p1-c1
7,b1-p1-c1-a4,fagus,b1-p1-c1
8,b1-p1-c1-b4,fagus,b1-p1-c1
9,b1-p1-c2-a1,fagus,b1-p1-c2
10,b1-p1-c2-b1,quercus,b1-p1-c2
11,b1-p1-c2-a2,quercus,b1-p1-c2
12,b1-p1-c2-b2,fagus,b1-p1-c2
13,b1-p1-c2-a3,fagus,b1-p1-c2
14,b1-p1-c2-b3,quercus,b1-p1-c2
15,b1-p1-c2-a4,quercus,b1-p1-c2
16,b1-p1-c2-b4,fagus,b1-p1-c2
17,b1-p1-c3-a1,fagus,b1-p1-c3
18,b1-p1-c3-b1,quercus,b1-p1-c3
19,b1-p1-c3-a2,quercus,b1-p1-c3
20,b1-p1-c3-b2,fagus,b1-p1-c3
21,b1-p1-c3-a3,fagus,b1-p1-c3
22,b1-p1-c3-b3,quercus,b1-p1-c3
23,b1-p1-c3-a4,quercus,b1-p1-c3
24,b1-p1-c3-b4,fagus,b1-p1-c3
25,b1-p1-c4-a1,quercus,b1-p1-c4
26,b1-p1-c4-b1,quercus,b1-p1-c4
27,b1-p1-c4-a2,quercus,b1-p1-c4
28,b1-p1-c4-b2,quercus,b1-p1-c4
29,b1-p1-c4-a3,quercus,b1-p1-c4
30,b1-p1-c4-b3,quercus,b1-p1-c4
31,b1-p1-c4-a4,quercus,b1-p1-c4
32,b1-p1-c4-b4,quercus,b1-p1-c4
33,b1-p2-c1-a1,quercus,b1-p2-c1
34,b1-p2-c1-b1,quercus,b1-p2-c1
35,b1-p2-c1-a2,quercus,b1-p2-c1
36,b1-p2-c1-b2,quercus,b1-p2-c1
37,b1-p2-c1-a3,quercus,b1-p2-c1
38,b1-p2-c1-b3,quercus,b1-p2-c1
39,b1-p2-c1-a4,quercus,b1-p2-c1
40,b1-p2-c1-b4,quercus,b1-p2-c1
41,b1-p2-c2-a1,fagus,b1-p2-c2
42,b1-p2-c2-b1,quercus,b1-p2-c2
43,b1-p2-c2-a2,quercus,b1-p2-c2
44,b1-p2-c2-b2,fagus,b1-p2-c2
45,b1-p2-c2-a3,fagus,b1-p2-c2
46,b1-p2-c2-b3,quercus,b1-p2-c2
47,b1-p2-c2-a4,quercus,b1-p2-c2
48,b1-p2-c2-b4,fagus,b1-p2-c2
49,b1-p2-c3-a1,fagus,b1-p2-c3
50,b1-p2-c3-b1,fagus,b1-p2-c3
51,b1-p2-c3-a2,fagus,b1-p2-c3
52,b1-p2-c3-b2,fagus,b1-p2-c3
53,b1-p2-c3-a3,fagus,b1-p2-c3
54,b1-p2-c3-b3,fagus,b1-p2-c3
55,b1-p2-c3-a4,fagus,b1-p2-c3
56,b1-p2-c3-b4,fagus,b1-p2-c3
57,b1-p2-c4-a1,quercus,b1-p2-c4
58,b1-p2-c4-b1,quercus,b1-p2-c4
59,b1-p2-c4-a2,quercus,b1-p2-c4
60,b1-p2-c4-b2,quercus,b1-p2-c4
61,b1-p2-c4-a3,quercus,b1-p2-c4
62,b1-p2-c4-b3,quercus,b1-p2-c4
63,b1-p2-c4-a4,quercus,b1-p2-c4
64,b1-p2-c4-b4,quercus,b1-p2-c4
65,b1-p3-c1-a1,quercus,b1-p3-c1
66,b1-p3-c1-b1,quercus,b1-p3-c1
67,b1-p3-c1-a2,quercus,b1-p3-c1
68,b1-p3-c1-b2,quercus,b1-p3-c1
69,b1-p3-c1-a3,quercus,b1-p3-c1
70,b1-p3-c1-b3,quercus,b1-p3-c1
71,b1-p3-c1-a4,quercus,b1-p3-c1
72,b1-p3-c1-b4,quercus,b1-p3-c1
73,b1-p3-c2-a1,fagus,b1-p3-c2
74,b1-p3-c2-b1,fagus,b1-p3-c2
75,b1-p3-c2-a2,fagus,b1-p3-c2
76,b1-p3-c2-b2,fagus,b1-p3-c2
77,b1-p3-c2-a3,fagus,b1-p3-c2
78,b1-p3-c2-b3,fagus,b1-p3-c2
79,b1-p3-c2-a4,fagus,b1-p3-c2
80,b1-p3-c2-b4,fagus,b1-p3-c2
81,b1-p3-c3-a1,fagus,b1-p3-c3
82,b1-p3-c3-b1,quercus,b1-p3-c3
83,b1-p3-c3-a2,quercus,b1-p3-c3
84,b1-p3-c3-b2,fagus,b1-p3-c3
85,b1-p3-c3-a3,fagus,b1-p3-c3
86,b1-p3-c3-b3,quercus,b1-p3-c3
87,b1-p3-c3-a4,quercus,b1-p3-c3
88,b1-p3-c3-b4,fagus,b1-p3-c3
89,b1-p3-c4-a1,fagus,b1-p3-c4
90,b1-p3-c4-b1,fagus,b1-p3-c4
91,b1-p3-c4-a2,fagus,b1-p3-c4
92,b1-p3-c4-b2,fagus,b1-p3-c4
93,b1-p3-c4-a3,fagus,b1-p3-c4
94,b1-p3-c4-b3,fagus,b1-p3-c4
95,b1-p3-c4-a4,fagus,b1-p3-c4
96,b1-p3-c4-b4,fagus,b1-p3-c4
97,b1-p4-c1-a1,fagus,b1-p4-c1
98,b1-p4-c1-b1,quercus,b1-p4-c1
99,b1-p4-c1-a2,quercus,b1-p4-c1
100,b1-p4-c1-b2,fagus,b1-p4-c1
101,b1-p4-c1-a3,fagus,b1-p4-c1
102,b1-p4-c1-b3,quercus,b1-p4-c1
103,b1-p4-c1-a4,quercus,b1-p4-c1
104,b1-p4-c1-b4,fagus,b1-p4-c1
105,b1-p4-c2-a1,fagus,b1-p4-c2
106,b1-p4-c2-b1,fagus,b1-p4-c2
107,b1-p4-c2-a2,fagus,b1-p4-c2
108,b1-p4-c2-b2,fagus,b1-p4-c2
109,b1-p4-c2-a3,fagus,b1-p4-c2
110,b1-p4-c2-b3,fagus,b1-p4-c2
111,b1-p4-c2-a4,fagus,b1-p4-c2
112,b1-p4-c2-b4,fagus,b1-p4-c2
113,b1-p4-c3-a1,quercus,b1-p4-c3
114,b1-p4-c3-b1,quercus,b1-p4-c3
115,b1-p4-c3-a2,quercus,b1-p4-c3
116,b1-p4-c3-b2,quercus,b1-p4-c3
117,b1-p4-c3-a3,quercus,b1-p4-c3
118,b1-p4-c3-b3,quercus,b1-p4-c3
119,b1-p4-c3-a4,quercus,b1-p4-c3
120,b1-p4-c3-b4,quercus,b1-p4-c3
121,b1-p4-c4-a1,fagus,b1-p4-c4
122,b1-p4-c4-b1,quercus,b1-p4-c4
123,b1-p4-c4-a2,quercus,b1-p4-c4
124,b1-p4-c4-b2,fagus,b1-p4-c4
125,b1-p4-c4-a3,fagus,b1-p4-c4
126,b1-p4-c4-b3,quercus,b1-p4-c4
127,b1-p4-c4-a4,quercus,b1-p4-c4
128,b1-p4-c4-b4,fagus,b1-p4-c4
129,b1-p5-c1-a1,quercus,b1-p5-c1
130,b1-p5-c1-b1,quercus,b1-p5-c1
131,b1-p5-c1-a2,quercus,b1-p5-c1
132,b1-p5-c1-b2,quercus,b1-p5-c1
133,b1-p5-c1-a3,quercus,b1-p5-c1
134,b1-p5-c1-b3,quercus,b1-p5-c1
135,b1-p5-c1-a4,quercus,b1-p5-c1
136,b1-p5-c1-b4,quercus,b1-p5-c1
137,b1-p5-c2-a1,fagus,b1-p5-c2
138,b1-p5-c2-b1,quercus,b1-p5-c2
139,b1-p5-c2-a2,quercus,b1-p5-c2
140,b1-p5-c2-b2,fagus,b1-p5-c2
141,b1-p5-c2-a3,fagus,b1-p5-c2
142,b1-p5-c2-b3,quercus,b1-p5-c2
143,b1-p5-c2-a4,quercus,b1-p5-c2
144,b1-p5-c2-b4,fagus,b1-p5-c2
145,b1-p5-c3-a1,fagus,b1-p5-c3
146,b1-p5-c3-b1,fagus,b1-p5-c3
147,b1-p5-c3-a2,fagus,b1-p5-c3
148,b1-p5-c3-b2,fagus,b1-p5-c3
149,b1-p5-c3-a3,fagus,b1-p5-c3
150,b1-p5-c3-b3,fagus,b1-p5-c3
151,b1-p5-c3-a4,fagus,b1-p5-c3
152,b1-p5-c3-b4,fagus,b1-p5-c3
153,b1-p5-c4-a1,quercus,b1-p5-c4
154,b1-p5-c4-b1,quercus,b1-p5-c4
155,b1-p5-c4-a2,quercus,b1-p5-c4
156,b1-p5-c4-b2,quercus,b1-p5-c4
157,b1-p5-c4-a3,quercus,b1-p5-c4
158,b1-p5-c4-b3,quercus,b1-p5-c4
159,b1-p5-c4-a4,quercus,b1-p5-c4
160,b1-p5-c4-b4,quercus,b1-p5-c4
161,b1-p6-c1-a1,fagus,b1-p6-c1
162,b1-p6-c1-b1,fagus,b1-p6-c1
163,b1-p6-c1-a2,fagus,b1-p6-c1
164,b1-p6-c1-b2,fagus,b1-p6-c1
165,b1-p6-c1-a3,fagus,b1-p6-c1
166,b1-p6-c1-b3,fagus,b1-p6-c1
167,b1-p6-c1-a4,fagus,b1-p6-c1
168,b1-p6-c1-b4,fagus,b1-p6-c1
169,b1-p6-c2-a1,quercus,b1-p6-c2
170,b1-p6-c2-b1,quercus,b1-p6-c2
171,b1-p6-c2-a2,quercus,b1-p6-c2
172,b1-p6-c2-b2,quercus,b1-p6-c2
173,b1-p6-c2-a3,quercus,b1-p6-c2
174,b1-p6-c2-b3,quercus,b1-p6-c2
175,b1-p6-c2-a4,quercus,b1-p6-c2
176,b1-p6-c2-b4,quercus,b1-p6-c2
