tree_id,date,condition,comment
1,2025-06-13,4,NA
1,2025-06-26,4,NA
1,2025-07-10,4,NA
1,2025-07-24,4,NA
1,2025-08-06,4,NA
1,2025-08-22,4,NA
1,2025-09-05,4,NA
1,2025-09-19,4,NA
1,2025-10-03,3,NA
1,2025-10-16,3,NA
1,2025-11-04,1,NA
2,2025-06-13,4,NA
2,2025-06-26,4,NA
2,2025-07-10,4,NA
2,2025-07-24,4,NA
2,2025-08-06,4,NA
2,2025-08-22,4,NA
2,2025-09-05,4,NA
2,2025-09-19,4,NA
2,2025-10-03,4,NA
2,2025-10-16,4,NA
2,2025-11-04,1,NA
3,2025-06-13,4,NA
3,2025-06-26,4,NA
3,2025-07-10,4,NA
3,2025-07-24,4,NA
3,2025-08-06,4,NA
3,2025-08-22,4,NA
3,2025-09-05,4,NA
3,2025-09-19,4,NA
3,2025-10-03,4,NA
3,2025-10-16,4,NA
3,2025-11-04,1,NA
4,2025-06-13,4,NA
4,2025-06-26,4,NA
4,2025-07-10,4,NA
4,2025-07-24,4,NA
4,2025-08-06,4,NA
4,2025-08-22,4,NA
4,2025-09-05,4,NA
4,2025-09-19,4,NA
4,2025-10-03,4,NA
4,2025-10-16,4,NA
4,2025-11-04,2,NA
5,2025-06-13,4,NA
5,2025-06-26,4,NA
5,2025-07-10,4,NA
5,2025-07-24,4,NA
5,2025-08-06,4,NA
5,2025-08-22,4,NA
5,2025-09-05,4,NA
5,2025-09-19,4,NA
5,2025-10-03,4,NA
5,2025-10-16,4,NA
5,2025-11-04,2,NA
6,2025-06-13,4,NA
6,2025-06-26,4,NA
6,2025-07-10,4,NA
6,2025-07-24,4,NA
6,2025-08-06,4,NA
6,2025-08-22,4,NA
6,2025-09-05,4,NA
6,2025-09-19,4,NA
6,2025-10-03,4,NA
6,2025-10-16,4,NA
6,2025-11-04,2,NA
7,2025-06-13,4,NA
7,2025-06-26,4,NA
7,2025-07-10,4,NA
7,2025-07-24,4,NA
7,2025-08-06,4,NA
7,2025-08-22,4,NA
7,2025-09-05,4,NA
7,2025-09-19,4,NA
7,2025-10-03,4,NA
7,2025-10-16,3,NA
7,2025-11-04,1,NA
8,2025-06-13,4,NA
8,2025-06-26,4,NA
8,2025-07-10,4,NA
8,2025-07-24,4,NA
8,2025-08-06,4,NA
8,2025-08-22,4,NA
8,2025-09-05,4,NA
8,2025-09-19,4,NA
8,2025-10-03,4,NA
8,2025-10-16,3,NA
8,2025-11-04,2,NA
9,2025-06-13,4,NA
9,2025-06-26,4,NA
9,2025-07-10,4,NA
9,2025-07-24,4,NA
9,2025-08-06,4,NA
9,2025-08-22,4,NA
9,2025-09-05,4,NA
9,2025-09-19,4,NA
9,2025-10-03,4,NA
9,2025-10-16,4,NA
9,2025-11-04,1,NA
10,2025-06-13,4,NA
10,2025-06-26,4,NA
10,2025-07-10,4,NA
10,2025-07-24,4,NA
10,2025-08-06,4,NA
10,2025-08-22,4,NA
10,2025-09-05,4,NA
10,2025-09-19,4,NA
10,2025-10-03,4,NA
10,2025-10-16,4,NA
10,2025-11-04,4,NA
11,2025-06-13,4,NA
11,2025-06-26,4,NA
11,2025-07-10,4,NA
11,2025-07-24,4,NA
11,2025-08-06,4,NA
11,2025-08-22,4,NA
11,2025-09-05,4,NA
