tree_id,date,stage,doy
1,2025-04-18,4,108
1,2025-04-23,4,113
1,2025-04-25,4,115
1,2025-04-29,4,119
1,2025-05-02,4,122
1,2025-05-06,4,126
1,2025-05-09,4,129
1,2025-05-13,1,133
1,2025-05-16,2,136
1,2025-05-20,3,140
1,2025-05-23,3,143
1,2025-05-27,4,147
1,2025-05-30,4,150
2,2025-04-23,4,113
2,2025-04-25,4,115
2,2025-04-29,4,119
2,2025-05-02,4,122
2,2025-05-06,4,126
2,2025-05-09,1,129
2,2025-05-13,1,133
2,2025-05-16,3,136
2,2025-05-20,4,140
2,2025-05-23,4,143
2,2025-05-27,4,147
2,2025-05-30,4,150
3,2025-04-15,4,105
3,2025-04-18,4,108
3,2025-04-23,4,113
3,2025-04-25,4,115
3,2025-04-29,4,119
3,2025-05-02,4,122
3,2025-05-06,4,126
3,2025-05-09,4,129
3,2025-05-13,4,133
3,2025-05-16,1,136
3,2025-05-20,1,140
3,2025-05-23,3,143
3,2025-05-27,3,147
3,2025-05-30,4,150
4,2025-04-18,4,108
4,2025-04-23,4,113
4,2025-04-25,4,115
4,2025-04-29,4,119
4,2025-05-02,4,122
4,2025-05-06,4,126
4,2025-05-09,4,129
4,2025-05-13,1,133
4,2025-05-16,2,136
4,2025-05-20,3,140
4,2025-05-23,3,143
4,2025-05-27,4,147
4,2025-05-30,4,150
5,2025-04-15,4,105
5,2025-04-18,4,108
5,2025-04-23,4,113
5,2025-04-25,4,115
5,2025-04-29,4,119
5,2025-05-02,4,122
5,2025-05-06,4,126
5,2025-05-09,4,129
5,2025-05-13,4,133
5,2025-05-16,1,136
5,2025-05-20,2,140
5,2025-05-23,3,143
5,2025-05-27,3,147
5,2025-05-30,4,150
6,2025-04-18,4,108
6,2025-04-23,4,113
6,2025-04-25,4,115
6,2025-04-29,4,119
6,2025-05-02,4,122
6,2025-05-06,4,126
6,2025-05-09,4,129
6,2025-05-13,1,133
6,2025-05-16,2,136
6,2025-05-20,2,140
6,2025-05-23,3,143
6,2025-05-27,4,147
6,2025-05-30,4,150
7,2025-04-15,4,105
7,2025-04-18,4,108
7,2025-04-23,4,113
7,2025-04-25,4,115
7,2025-04-29,4,119
7,2025-05-02,4,122
7,2025-05-06,4,126
7,2025-05-09,4,129
7,2025-05-13,4,133
7,2025-05-16,1,136
7,2025-05-20,1,140
7,2025-05-23,2,143
7,2025-05-27,2,147
7,2025-05-30,3,150
8,2025-04-15,4,105
8,2025-04-18,4,108
8,2025-04-23,4,113
8,2025-04-25,4,115
8,2025-04-29,4,119
8,2025-05-02,4,122
8,2025-05-06,4,126
8,2025-05-09,4,129
8,2025-05-13,4,133
8,2025-05-16,1,136
8,2025-05-20,1,140
8,2025-05-23,3,143
8,2025-05-27,3,147
8,2025-05-30,4,150
9,2025-04-15,4,105
9,2025-04-18,4,108
9,2025-04-23,4,113
9,2025-04-25,4,115
9,2025-04-29,4,119
9,2025-05-02,4,122
9,2025-05-06,4,126
9,2025-05-09,4,129
9,2025-05-13,4,133
9,2025-05-16,1,136
9,2025-05-20,1,140
9,2025-05-23,3,143
9,2025-05-27,3,147
9,2025-05-30,4,150
10,2025-04-15,4,105
10,2025-04-18,4,108
10,2025-04-23,4,113
10,2025-04-25,4,115
10,2025-04-29,4,119
10,2025-05-02,4,122
10,2025-05-06,4,126
10,2025-05-09,4,129
10,2025-05-13,4,133
10,2025-05-16,1,136
10,2025-05-20,1,140
10,2025-05-23,2,143
10,2025-05-27,2,147
10,2025-05-30,2,150
11,2025-04-23,4,113
11,2025-04-25,4,115
11,2025-04-29,4,119
11,2025-05-02,4,122
11,2025-05-06,4,126
11,2025-05-09,1,129
11,2025-05-13,2,133
11,2025-05-16,2,136
11,2025-05-20,2,140
11,2025-05-23,3,143
11,2025-05-27,3,147
11,2025-05-30,4,150
12,2025-04-15,4,105
12,2025-04-18,4,108
12,2025-04-23,4,113
12,2025-04-25,4,115
12,2025-04-29,4,119
12,2025-05-02,4,122
12,2025-05-06,4,126
12,2025-05-09,4,129
12,2025-05-13,4,133
12,2025-05-16,1,136
12,2025-05-20,1,140
12,2025-05-23,2,143
12,2025-05-27,2,147
12,2025-05-30,3,150
13,2025-04-15,4,105
13,2025-04-18,4,108
13,2025-04-23,4,113
13,2025-04-25,4,115
13,2025-04-29,4,119
13,2025-05-02,4,122
13,2025-05-06,4,126
13,2025-05-09,4,129
13,2025-05-13,4,133
13,2025-05-16,1,136
13,2025-05-20,2,140
13,2025-05-23,2,143
13,2025-05-27,3,147
13,2025-05-30,3,150
14,2025-04-23,4,113
14,2025-04-25,4,115
14,2025-04-29,4,119
14,2025-05-02,4,122
14,2025-05-06,4,126
14,2025-05-09,1,129
14,2025-05-13,1,133
14,2025-05-16,1,136
14,2025-05-20,3,140
14,2025-05-23,4,143
14,2025-05-27,4,147
14,2025-05-30,4,150
15,2025-04-08,1,98
15,2025-04-11,2,101
15,2025-04-13,2,103
15,2025-04-15,2,105
15,2025-04-18,2,108
15,2025-04-23,2,113
15,2025-04-25,4,115
15,2025-04-29,4,119
15,2025-05-02,4,122
15,2025-05-06,4,126
15,2025-05-09,4,129
15,2025-05-13,4,133
15,2025-05-16,4,136
15,2025-05-20,4,140
15,2025-05-23,4,143
15,2025-05-27,1,147
15,2025-05-30,1,150
16,2025-04-15,4,105
16,2025-04-18,4,108
16,2025-04-23,4,113
16,2025-04-25,4,115
16,2025-04-29,4,119
16,2025-05-02,4,122
16,2025-05-06,4,126
16,2025-05-09,4,129
16,2025-05-13,4,133
16,2025-05-16,1,136
16,2025-05-20,2,140
16,2025-05-23,3,143
16,2025-05-27,3,147
16,2025-05-30,4,150
17,2025-04-15,4,105
17,2025-04-18,4,108
17,2025-04-23,4,113
17,2025-04-25,4,115
17,2025-04-29,4,119
17,2025-05-02,4,122
17,2025-05-06,4,126
17,2025-05-09,4,129
17,2025-05-13,4,133
17,2025-05-16,1,136
17,2025-05-20,2,140
17,2025-05-23,3,143
17,2025-05-27,3,147
17,2025-05-30,4,150
18,2025-04-15,2,105
18,2025-04-18,3,108
18,2025-04-23,3,113
18,2025-04-25,4,115
18,2025-04-29,4,119
18,2025-05-02,4,122
18,2025-05-06,4,126
18,2025-05-09,4,129
18,2025-05-13,4,133
18,2025-05-16,1,136
18,2025-05-20,2,140
18,2025-05-23,2,143
18,2025-05-27,2,147
18,2025-05-30,2,150
19,2025-04-15,4,105
19,2025-04-18,4,108
19,2025-04-23,4,113
19,2025-04-25,4,115
19,2025-04-29,4,119
19,2025-05-02,4,122
19,2025-05-06,4,126
19,2025-05-09,4,129
19,2025-05-13,4,133
19,2025-05-16,1,136
19,2025-05-20,1,140
19,2025-05-23,2,143
19,2025-05-27,2,147
19,2025-05-30,2,150
20,2025-04-15,4,105
20,2025-04-18,4,108
20,2025-04-23,4,113
20,2025-04-25,4,115
20,2025-04-29,4,119
20,2025-05-02,4,122
20,2025-05-06,4,126
20,2025-05-09,4,129
20,2025-05-13,4,133
20,2025-05-16,1,136
20,2025-05-20,1,140
20,2025-05-23,2,143
20,2025-05-27,3,147
20,2025-05-30,4,150
21,2025-04-25,4,115
21,2025-04-29,4,119
21,2025-05-02,4,122
21,2025-05-06,1,126
21,2025-05-09,2,129
21,2025-05-13,3,133
21,2025-05-16,4,136
21,2025-05-20,4,140
21,2025-05-23,4,143
21,2025-05-27,4,147
21,2025-05-30,4,150
22,2025-04-08,1,98
22,2025-04-11,1,101
22,2025-04-13,2,103
22,2025-04-15,2,105
22,2025-04-18,2,108
