tree_id,stage,stage_label,stage_date_raw,stage_date,doy,stage_order_conflict_nulled,stage_date_source
1,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
1,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
1,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
1,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
10,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
10,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
10,3,Stage 3,NA,NA,NA,FALSE,missing_raw
10,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
100,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
100,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
100,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
100,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
101,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
101,2,Stage 2,NA,NA,NA,FALSE,missing_raw
101,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
101,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
102,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
102,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
102,3,Stage 3,2025-05-02,2025-05-02,122,FALSE,retained
102,4,Stage 4,2025-05-06,2025-05-06,126,FALSE,retained
103,1,Stage 1,2025-04-04,2025-04-04,94,FALSE,retained
103,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
103,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
103,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
104,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
104,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
104,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
104,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
105,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
105,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
105,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
105,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
106,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
106,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
106,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
106,4,Stage 4,2025-04-25,2025-04-25,115,FALSE,retained
107,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
107,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
107,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
107,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
108,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
108,2,Stage 2,2025-04-23,2025-04-23,113,FALSE,retained
108,3,Stage 3,2025-04-25,2025-04-25,115,FALSE,retained
108,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
109,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
109,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
109,3,Stage 3,2025-04-29,2025-04-29,119,FALSE,retained
109,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
11,1,Stage 1,2025-04-23,2025-04-23,113,FALSE,retained
11,2,Stage 2,2025-04-25,2025-04-25,115,FALSE,retained
11,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
11,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
110,1,Stage 1,2025-04-11,2025-04-11,101,FALSE,retained
110,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
110,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
110,4,Stage 4,2025-04-25,2025-04-25,115,FALSE,retained
111,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
111,2,Stage 2,NA,NA,NA,FALSE,missing_raw
111,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
111,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
112,1,Stage 1,2025-04-15,2025-04-15,105,FALSE,retained
112,2,Stage 2,2025-04-18,2025-04-18,108,FALSE,retained
112,3,Stage 3,2025-04-23,2025-04-23,113,FALSE,retained
112,4,Stage 4,2025-04-29,2025-04-29,119,FALSE,retained
113,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
113,2,Stage 2,2025-05-02,2025-05-02,122,FALSE,retained
113,3,Stage 3,2025-05-06,2025-05-06,126,FALSE,retained
113,4,Stage 4,2025-05-13,2025-05-13,133,FALSE,retained
114,1,Stage 1,2025-04-04,2025-04-04,94,FALSE,retained
114,2,Stage 2,2025-04-15,2025-04-15,105,FALSE,retained
114,3,Stage 3,2025-04-18,2025-04-18,108,FALSE,retained
114,4,Stage 4,2025-05-02,2025-05-02,122,FALSE,retained
115,1,Stage 1,2025-05-06,2025-05-06,126,FALSE,retained
115,2,Stage 2,2025-05-13,2025-05-13,133,FALSE,retained
115,3,Stage 3,2025-05-20,2025-05-20,140,FALSE,retained
115,4,Stage 4,2025-05-27,2025-05-27,147,FALSE,retained
116,1,Stage 1,2025-04-18,2025-04-18,108,FALSE,retained
